sofa_id;equipo;partidos;amarillas
52417;Denmark;4;20
52417;England;1;6
52417;Hungary;3;21
52417;Netherlands;2;10
52417;North Macedonia;1;2
52417;Portugal;1;5
52417;Romania;1;4
52417;Serbia;3;18
52417;Spain;2;12
52417;Türkiye;6;38
52599;Bosnia & Herzegovina;2;10
52599;Germany;1;3
52599;Israel;2;6
52599;Italy;4;16
52599;Kosovo;2;8
52599;Netherlands;3;12
52599;Scotland;1;3
52599;Serbia;2;10
52599;Slovenia;2;8
52599;Spain;2;6
52599;Switzerland;2;10
52599;Türkiye;1;6
65702;Colombia;1;0
65702;Croatia;2;16
65702;Denmark;4;15
65702;France;5;30
65702;Germany;1;4
65702;Greece;2;8
65702;Kazakhstan;1;3
65702;Kosovo;1;9
65702;Portugal;1;2
65702;Spain;3;12
65702;Türkiye;1;9
68557;Austria;1;2
68557;Finland;2;4
68557;France;2;6
68557;Germany;2;8
68557;Hungary;1;5
68557;Italy;1;5
68557;Netherlands;2;4
68557;Poland;1;5
68557;Portugal;1;6
68557;Spain;1;5
68557;Sweden;1;5
68557;Switzerland;1;5
68557;Ukraine;2;6
69579;Albania;1;5
69579;Bosnia & Herzegovina;1;5
69579;Czechia;1;18
69579;Finland;1;7
69579;Northern Ireland;2;12
69579;Serbia;1;5
69579;Slovakia;2;12
69579;Türkiye;1;18
69579;Wales;2;12
69853;Albania;1;5
69853;Bosnia & Herzegovina;2;8
69853;Chile;1;0
69853;Croatia;1;9
69853;France;2;1
69853;Germany;1;15
69853;Hungary;2;8
69853;Iceland;2;6
69853;Israel;1;7
69853;Netherlands;1;1
69853;Poland;1;5
69853;Spain;1;15
69853;Switzerland;1;7
69853;Türkiye;1;9
69853;Ukraine;2;6
72792;Croatia;1;9
72792;Italy;2;10
72792;Kosovo;2;4
72792;North Macedonia;1;3
72792;Northern Ireland;1;1
72792;Sweden;2;4
72792;Wales;1;3
72926;Denmark;3;15
72926;Finland;1;7
72926;Germany;2;14
72926;Israel;1;1
72926;Italy;3;17
72926;Norway;1;1
72926;Scotland;2;8
72926;Switzerland;1;3
86571;Croatia;2;8
86571;Italy;1;6
86571;Kazakhstan;1;2
86571;Norway;1;6
86571;Poland;2;8
86571;Wales;1;2
92295;Egypt;1;5
92295;Hungary;2;12
92295;Iraq;3;3
92295;Ireland;2;12
92295;Jordan;3;3
92295;Kosovo;1;5
92295;Kuwait;1;5
92295;Morocco;1;3
92295;Qatar;1;2
92295;Slovakia;1;5
92295;Tunisia;1;2
92295;United Arab Emirates;1;3
96648;Albania;1;3
96648;Austria;2;6
96648;Czechia;1;3
96648;Egypt;1;6
96648;Ireland;4;18
96648;Jordan;1;4
96648;Morocco;1;4
96648;Palestine;1;1
96648;Portugal;3;15
96648;Qatar;1;1
96648;Slovenia;2;6
96648;Spain;1;3
96648;United Arab Emirates;1;6
130916;Colombia;1;4
130916;Czechia;1;3
130916;Denmark;1;3
130916;Jamaica;1;2
130916;Netherlands;3;9
130916;Panama;1;4
130916;Poland;3;9
130916;Slovenia;2;6
130916;Sweden;2;6
130916;Venezuela;1;2
137333;Denmark;2;6
137333;Georgia;1;4
137333;Gibraltar;2;14
137333;Latvia;2;14
137333;Portugal;2;12
137333;Slovenia;2;6
137333;Spain;1;8
144373;Bolivia;1;8
144373;Cameroon;1;6
144373;China;1;6
144373;Oman;3;8
144373;South Korea;2;4
144373;Suriname;1;8
144373;United Arab Emirates;1;4
222742;Austria;2;6
222742;Bosnia & Herzegovina;2;6
243495;Chile;3;0
243495;Ecuador;2;10
243495;Mexico;1;4
243495;Paraguay;5;10
243495;Uruguay;2;10
243495;Venezuela;3;14
243701;Colombia;4;6
243701;Peru;2;4
243701;Venezuela;2;2
313242;Costa Rica;2;12
313242;Guatemala;3;6
313242;Panama;5;18
316136;Colombia;1;4
316136;Egypt;1;4
316136;Jordan;1;4
316136;Mexico;1;4
316136;Palestine;1;2
316136;Tunisia;1;2
322839;Bolivia;3;6
322839;Colombia;3;6
322839;Paraguay;2;4
322839;Uruguay;2;4
326591;Algeria;1;1
326591;Australia;2;4
326591;Bahrain;3;6
326591;Brazil;1;4
326591;Iran;1;7
326591;Iraq;1;1
326591;Japan;3;6
326591;Palestine;1;7
326591;Saudi Arabia;2;4
326591;South Korea;1;4
592616;Argentina;3;18
592616;Chile;5;26
592616;Colombia;2;8
785114;Albania;1;4
785114;Croatia;1;4
785114;Germany;2;2
785114;Romania;1;3
785114;Slovakia;2;2
785114;Türkiye;1;3
785139;Jordan;3;7
785139;Qatar;1;5
785139;Russia;1;3
785139;South Korea;2;4
785139;United Arab Emirates;1;5
785164;Bolivia;1;4
785164;Indonesia;1;8
785164;Iran;1;2
785164;Iraq;1;8
785164;Japan;1;2
785164;Kuwait;1;2
785164;Qatar;1;7
785164;South Korea;1;4
785164;United Arab Emirates;1;2
785164;Uzbekistan;1;7
785206;Algeria;1;5
785206;Australia;2;0
785206;Indonesia;2;0
785206;Iraq;2;10
785206;Oman;1;1
785206;Saudi Arabia;2;7
785206;Sudan;1;4
785206;United Arab Emirates;1;5
785658;Iraq;4;22
785658;Oman;1;4
785658;Palestine;2;8
785658;Qatar;1;4
785658;South Korea;4;18
785658;United Arab Emirates;2;12
786086;Argentina;2;20
786086;Brazil;4;32
786086;Ecuador;2;12
786086;Peru;2;12
786086;Venezuela;2;12
786399;China;1;1
786399;Saudi Arabia;1;1
786553;Bolivia;1;2
786553;Brazil;1;2
786553;Ecuador;1;2
786553;Jordan;3;6
786553;Kuwait;3;6
786553;Morocco;1;4
786553;Peru;2;10
786553;Saudi Arabia;1;0
786553;Syria;1;4
786553;United Arab Emirates;1;0
786553;Uruguay;1;2
786553;Venezuela;2;10
786563;Chile;2;6
786563;Ecuador;2;6
786563;Jamaica;1;0
786563;New Caledonia;1;0
786583;Argentina;1;1
786583;Bolivia;1;1
786583;Colombia;2;12
786583;Uruguay;2;12
786595;Argentina;5;24
786595;Bahrain;1;3
786595;Colombia;3;18
786595;Jordan;1;2
786595;Morocco;1;1
786595;Oman;1;1
786595;Saudi Arabia;1;2
786595;Sudan;1;3
786595;Uruguay;2;6
786734;Dominican Republic;1;5
786734;El Salvador;2;10
786734;Guatemala;1;6
786734;Haiti;2;8
786734;Honduras;2;8
786734;Mexico;1;5
786734;Panama;3;9
786734;Suriname;2;10
786734;USA;4;15
786798;Benin;1;6
786798;DR Congo;1;6
786798;Gabon;1;7
786798;Mali;2;18
786798;Nigeria;1;7
786798;Senegal;1;8
786798;Tunisia;1;10
787023;Bolivia;2;6
787023;Venezuela;2;6
787045;Canada;2;12
787045;Mexico;2;12
787046;Canada;1;4
787046;Comoros;1;3
787046;Curaçao;1;4
787046;Guatemala;2;2
787046;Honduras;3;27
787046;Jamaica;2;2
787046;Mexico;3;27
787046;Saudi Arabia;1;3
787177;Cameroon;1;4
787177;Côte d'Ivoire;2;7
787177;Egypt;1;3
787201;Bolivia;1;5
787201;Curaçao;2;12
787201;Iraq;1;5
787201;Jamaica;2;12
787203;Burkina Faso;1;2
787203;Cameroon;1;3
787203;DR Congo;2;6
787203;Gabon;1;3
787203;Guinea;2;6
787203;Palestine;1;6
787203;Saudi Arabia;1;6
787203;Sudan;1;2
787522;Australia;1;5
787522;Bermuda;2;12
787522;Colombia;1;5
787522;Curaçao;2;12
787576;Ecuador;3;9
787576;Venezuela;3;9
787976;Cameroon;1;5
787976;Morocco;1;5
787976;Nigeria;1;1
787976;Senegal;5;20
787976;Sudan;5;20
787976;Tanzania;1;1
788258;Canada;4;10
788258;Haiti;1;1
788258;Honduras;1;4
788258;Panama;1;4
788258;Suriname;2;2
788258;USA;3;9
788925;Algeria;1;2
788925;Bahrain;1;2
789071;Brazil;2;6
789071;Chile;2;8
789071;Colombia;2;12
789071;DR Congo;1;2
789071;Jamaica;1;2
789071;Paraguay;4;18
789071;Peru;2;10
789071;Uruguay;2;10
789071;Venezuela;2;8
789229;Algeria;3;9
789229;Bahrain;1;5
789229;Benin;1;8
789229;Comoros;1;4
789229;Egypt;2;11
789229;Iraq;1;5
789229;Oman;1;4
789229;Senegal;1;3
789229;Sudan;3;9
789297;Cameroon;1;3
789297;DR Congo;1;0
789297;Egypt;1;3
789297;Mozambique;1;3
789297;Nigeria;2;3
