jugador;sofa_id;posicion;edad;altura;pie;valor_eur
Erling Haaland;839956;F;25;194;Left;218000000
Alexander Sørloth;309078;F;30;195;Left;21000000
Antonio Nusa;1121923;F;21;180;Right;31000000
Jens Petter Hauge;838805;F;26;184;Right;12500000
Jørgen Strand Larsen;876599;F;26;193;Right;46000000
Martin Ødegaard;547410;M;27;178;Left;71000000
Oscar Bobb;1065216;M;22;174;Left;29000000
Andreas Schjelderup;1100952;M;22;177;Right;31000000
Fredrik Aursnes;228364;M;30;179;Right;14000000
Thelo Aasgaard;1065989;M;24;188;Right;2500000
Julian Ryerson;800951;M;28;183;Right;24000000
Patrick Berg;355174;M;28;180;Right;7500000
Sander Berge;793167;M;28;195;Right;26000000
Kristian Thorstvedt;924973;M;27;187;Left;10300000
Morten Thorsby;280991;M;30;189;Right;3100000
Marcus Pedersen;934409;M;25;178;Right;3300000
Leo Østigård;879746;D;26;182;Right;14300000
Kristoffer Ajer;576384;D;28;196;Right;19500000
David Møller Wolfe;1031283;D;24;185;Left;9200000
Torbjørn Heggem;933264;D;27;192;Left;12200000
Fredrik André Bjørkan;795154;D;27;180;Left;3700000
Henrik Sælebakke Falchener;1022374;D;23;195;Right;6400000
Sondre Langås;1026541;D;25;190;Right;3600000
Ørjan Nyland;22209;G;35;192;Right;930000
Sander Tangvik;1030355;G;23;193;Right;2700000
Egil Selvik;798176;G;28;191;Left;1600000
Rasmus Højlund;1086417;F;23;191;Left;66000000
Kasper Høgh;932108;F;25;186;Right;11600000
William Osula;1122603;F;22;191;Right;13800000
Gustav Isaksen;976381;F;25;181;Left;16399999
Adam Daghim;1180758;F;20;186;Left;8100000
Patrick Dorgu;1397168;M;21;185;Left;33000000
Christian Eriksen;105734;M;34;182;Right;2400000
Morten Hjulmand;859917;M;26;185;Right;48000000
Victor Froholdt;1406639;M;20;187;Right;27000000
Pierre-Emile Højbjerg;149593;M;30;185;Right;16300000
Albert Grønbæk;1000263;M;25;176;Right;5300000
Mathias Jensen;799251;M;30;180;Both;12500000
Jens Stage;830142;M;29;187;Right;14400000
Jacob Trenskow;1015627;M;25;178;Left;7700000
Andreas Christensen;186795;D;30;188;Right;8700000
Alexander Bah;850976;D;28;183;Right;7400000
Joachim Andersen;362682;D;30;190;Right;26000000
Rasmus Kristensen;921789;D;28;186;Right;10700000
Joakim Mæhle;842364;D;29;185;Right;7400000
Lucas Høgsberg;1426597;D;19;187;Right;14500000
Oliver Provstgaard;1160559;D;23;194;Left;7700000
Filip Jørgensen;962053;G;24;190;Both;14600000
Mads Hermansen;856640;G;25;187;Right;15500000
Andreas Jungdal;963038;G;24;195;Right;2700000
Ianis Hagi;756344;F;27;180;Both;1700000
Daniel Bîrligea;970969;F;26;181;Right;4200000
Louis Munteanu;960307;F;23;184;Right;5200000
Denis Drăguş;841199;F;26;184;Right;1900000
Ștefan Baiaram;988473;F;23;185;Right;4400000
Marius Catalin Coman;886248;F;29;185;Right;630000
Dennis Man;812145;M;27;182;Left;15700000
Florinel Coman;794254;M;28;182;Right;2700000
