sofa_event_id;kickoff;ronda;descr
15186710;1781204400;1;Mexico vs South Africa
15186720;1781229600;1;South Korea vs Czechia
15186836;1781290800;1;Canada vs Bosnia & Herzegovina
15186873;1781312400;1;USA vs Paraguay
15186526;1781377200;1;Qatar vs Switzerland
15186850;1781388000;1;Brazil vs Morocco
15186853;1781398800;1;Haiti vs Scotland
15186874;1781409600;1;Australia vs Türkiye
15186899;1781456400;1;Germany vs Curaçao
15186945;1781467200;1;Netherlands vs Japan
15186904;1781478000;1;Côte d'Ivoire vs Ecuador
15186951;1781488800;1;Sweden vs Tunisia
15186783;1781539200;1;Spain vs Cabo Verde
15186837;1781550000;1;Belgium vs Egypt
15186811;1781560800;1;Saudi Arabia vs Uruguay
15186832;1781571600;1;Iran vs New Zealand
15186501;1781636400;1;France vs Senegal
15186773;1781647200;1;Iraq vs Norway
15186854;1781658000;1;Argentina vs Algeria
15186751;1781668800;1;Austria vs Jordan
15186709;1781715600;1;Portugal vs DR Congo
15186504;1781726400;1;England vs Croatia
15186687;1781737200;1;Ghana vs Panama
15186722;1781748000;1;Uzbekistan vs Colombia
15186731;1781798400;2;Czechia vs South Africa
15186806;1781809200;2;Switzerland vs Bosnia & Herzegovina
15186798;1781820000;2;Canada vs Qatar
15186490;1781830800;2;Mexico vs South Korea
15186878;1781895600;2;USA vs Australia
15186859;1781906400;2;Scotland vs Morocco
15186856;1781915400;2;Brazil vs Haiti
15186879;1781924400;2;Türkiye vs Paraguay
15186957;1781974800;2;Netherlands vs Sweden
15186905;1781985600;2;Germany vs Côte d'Ivoire
15186906;1782000000;2;Ecuador vs Curaçao
15186963;1782014400;2;Tunisia vs Japan
15186840;1782057600;2;Spain vs Saudi Arabia
15186499;1782068400;2;Belgium vs Iran
15186800;1782079200;2;Uruguay vs Cabo Verde
15186827;1782090000;2;New Zealand vs Egypt
15186502;1782147600;2;Argentina vs Austria
15186769;1782162000;2;France vs Iraq
15186770;1782172800;2;Norway vs Senegal
15186740;1782183600;2;Jordan vs Algeria
15186858;1782234000;2;Portugal vs Uzbekistan
15186672;1782244800;2;England vs Ghana
15186520;1782255600;2;Panama vs Croatia
15186713;1782266400;2;Colombia vs DR Congo
15186821;1782327600;3;Switzerland vs Canada
15186829;1782327600;3;Bosnia & Herzegovina vs Qatar
15186861;1782338400;3;Scotland vs Brazil
15186864;1782338400;3;Morocco vs Haiti
15186732;1782349200;3;Czechia vs Mexico
15186744;1782349200;3;South Africa vs South Korea
15186907;1782417600;3;Ecuador vs Germany
15186908;1782417600;3;Curaçao vs Côte d'Ivoire
15186973;1782428400;3;Tunisia vs Netherlands
15186972;1782428400;3;Japan vs Sweden
15186887;1782439200;3;Türkiye vs USA
15186891;1782439200;3;Paraguay vs Australia
15186537;1782500400;3;Norway vs France
15186771;1782500400;3;Senegal vs Iraq
15186841;1782518400;3;Uruguay vs Spain
15186803;1782518400;3;Cabo Verde vs Saudi Arabia
15186828;1782529200;3;Egypt vs Iran
15186822;1782529200;3;New Zealand vs Belgium
15186676;1782594000;3;Panama vs England
15186624;1782594000;3;Croatia vs Ghana
15186696;1782603000;3;Colombia vs Portugal
15186717;1782603000;3;DR Congo vs Uzbekistan
15186734;1782612000;3;Jordan vs Argentina
15186747;1782612000;3;Algeria vs Austria
12813000;1782673200;Round of 32;2A vs 2B
12813012;1782752400;Round of 32;1C vs 2F
12813014;1782765000;Round of 32;1E vs 3A/3B/3C/3D/3F
12812998;1782781200;Round of 32;1F vs 2C
12812989;1782838800;Round of 32;2E vs 2I
12812995;1782853200;Round of 32;1I vs 3C/3D/3F/3G/3H
12813001;1782867600;Round of 32;1A vs 3C/3E/3F/3H/3I
12813020;1782921600;Round of 32;1L vs 3E/3H/3I/3J/3K
12813013;1782936000;Round of 32;G1 vs 3A/3E/3H/3I/3J
12812992;1782950400;Round of 32;1D vs 3B/3E/3F/3I/3J
12813004;1783018800;Round of 32;H1 vs 2J
12812997;1783033200;Round of 32;2K vs 2L
12813019;1783047600;Round of 32;1B vs 3E/3F/3G/3I/3J
12813018;1783101600;Round of 32;2D vs G2
12812999;1783116000;Round of 32;1J vs H2
12813011;1783128600;Round of 32;1K vs 3D/3E/3I/3J/3L
12813009;1783184400;Round of 16;W73 vs W75
12813010;1783198800;Round of 16;W74 vs W77
12813006;1783281600;Round of 16;W76 vs W78
12813007;1783296000;Round of 16;W79 vs W80
12812990;1783364400;Round of 16;W83 vs W84
12813002;1783382400;Round of 16;W81 vs W82
12812993;1783440000;Round of 16;W86 vs W88
12812991;1783454400;Round of 16;W85 vs W87
12813016;1783627200;Quarterfinals;W89 vs W90
12812994;1783710000;Quarterfinals;W93 vs W94
12813017;1783803600;Quarterfinals;W91 vs W92
12813015;1783818000;Quarterfinals;W95 vs W96
12813008;1784055600;Semifinals;W97 vs W98
12812996;1784142000;Semifinals;W99 vs W100
12813003;1784408400;Match for 3rd place;L101 vs L102
12813005;1784487600;Final;W101 vs W102
