equipo;jugador
Denmark;Rasmus Højlund
Denmark;Kasper Høgh
Denmark;William Osula
Denmark;Gustav Isaksen
Denmark;Adam Daghim
Denmark;Patrick Dorgu
Denmark;Christian Eriksen
Denmark;Morten Hjulmand
Denmark;Victor Froholdt
Denmark;Pierre-Emile Højbjerg
Denmark;Albert Grønbæk
Denmark;Mathias Jensen
Denmark;Jens Stage
Denmark;Jacob Trenskow
Denmark;Andreas Christensen
Denmark;Alexander Bah
Denmark;Joachim Andersen
Denmark;Rasmus Kristensen
Denmark;Joakim Mæhle
Denmark;Lucas Høgsberg
Denmark;Oliver Provstgaard
Denmark;Filip Jørgensen
Denmark;Mads Hermansen
Denmark;Andreas Jungdal
Romania;Ianis Hagi
Romania;Daniel Bîrligea
Romania;Louis Munteanu
Romania;Denis Drăguş
Romania;Ștefan Baiaram
Romania;Marius Catalin Coman
Romania;Dennis Man
Romania;Florinel Coman
Romania;Răzvan Marin
Romania;Nicolae Stanciu
Romania;Valentin Mihăilă
Romania;Florin Tănase
Romania;Olimpiu Moruțan
Romania;Vlad Dragomir
Romania;David Miculescu
Romania;Alex Dobre
Romania;Deian Sorescu
Romania;Alexandru Cicâldău
Romania;Nicușor Bancu
Romania;Claudiu Petrila
Romania;Tudor Băluță
Romania;David Matei
Romania;Radu Drăguşin
Romania;Andrei Rațiu
Romania;Virgil Ghiță
Romania;Andrei Coubiș
Romania;Bogdan Racovițan
Romania;Andrei Burcă
Romania;Andrei Borza
Romania;Adrian Rus
Romania;Lisav Naif Eissat
Romania;Tony Strata
Romania;Vladimir Screciu
Romania;Matei Ilie
Romania;Kevin Ciubotaru
Romania;Ionuț Radu
Romania;Ștefan Târnovanu
Romania;Ottó Hindrich
Romania;Marian Aioani
Romania;Laurenţiu Popescu
Romania;Cătălin Căbuz
Luxembourg;Danel Sinani
Luxembourg;Yvandro Borges Sanches
Luxembourg;Aiman Dardari
Luxembourg;Fabio Domingos
Luxembourg;Edvin Muratović
Luxembourg;Hamza Kadamani
Luxembourg;Jayson Videira Pereira
Luxembourg;Leandro Barreiro
Luxembourg;Christopher Martins
Luxembourg;Vincent Thill
Luxembourg;Sebastien Thill
Luxembourg;Enzo Duarte
Luxembourg;Tomas de Sousa Moreira
Luxembourg;Alessio Curci
Luxembourg;Mathias Olesen
Luxembourg;Diego Duarte
Luxembourg;Miguel Fernandes Goncalves
Luxembourg;Seid Korać
Luxembourg;Mica Pinto
Luxembourg;Laurent Jans
Luxembourg;Enes Mahmutović
Luxembourg;Florian Bohnert
Luxembourg;Dirk Carlson
Luxembourg;Eldin Džogović
Luxembourg;Vahid Selimović
Luxembourg;Eric Veiga
Luxembourg;Tiago Pereira Cardoso
Luxembourg;Anthony Moris
Luxembourg;Lucas Fox
Luxembourg;Tim Kips
Bosnia & Herzegovina;Edin Džeko
Bosnia & Herzegovina;Esmir Bajraktarević
Bosnia & Herzegovina;Ermedin Demirović
Bosnia & Herzegovina;Haris Tabaković
Bosnia & Herzegovina;Samed Baždar
Bosnia & Herzegovina;Jovo Lukić
Bosnia & Herzegovina;Kerim Alajbegović
Bosnia & Herzegovina;Benjamin Tahirović
Bosnia & Herzegovina;Armin Gigović
Bosnia & Herzegovina;Amir Hadžiahmetović
Bosnia & Herzegovina;Amar Memić
Bosnia & Herzegovina;Ivan Šunjić
Bosnia & Herzegovina;Ivan Bašić
Bosnia & Herzegovina;Dženis Burnić
Bosnia & Herzegovina;Ermin Mahmic
Bosnia & Herzegovina;Amar Dedić
