equipo;metrica;n;media;mediana;moda;sd;min;max
Croatia;goles;30;2,16666666666667;2;1;1,70361346865265;0;7
Croatia;expected_goals;30;2,022;1,95;1,95;0,934641365850357;0,05;4,08
Croatia;total_shots;30;16,7333333333333;16;17;6,97252407339143;5;32
Croatia;shots_on_target;30;6,26666666666667;6;4;3,24763397518588;0;13
Croatia;shots_off_target;30;6,16666666666667;5;5;3,6301736762227;0;14
Croatia;shots_inside_box;30;11,2666666666667;10,5;5;5,86593516860687;2;24
Croatia;shots_outside_box;30;5,43333333333333;5,5;6;2,51455532962533;1;11
Croatia;blocked_shots;30;4,3;4;4;1,93248098531931;1;9
Croatia;corner_kicks;30;5,96666666666667;5;5;4,55981951649279;0;18
Croatia;free_kicks;30;9,83333333333333;10;10;3,35367357337914;4;17
Croatia;throw-ins;30;16,1666666666667;16;14;5,49032587019382;6;28
Croatia;goal_kicks;30;5,6;4,5;4;3,63507814268803;0;19
Croatia;yellow_cards;30;1,8;1;1;1,78885438199983;0;6
Croatia;red_cards;30;0,0666666666666667;0;0;0,253708131702462;0;1
Croatia;fouls;30;10,4666666666667;9;9;4,54656621724748;3;24
Croatia;offsides;30;1,63333333333333;1;0;1,84733420857216;0;6
Croatia;tackles;30;14,5666666666667;14;15;5,59361294219813;5;34
Croatia;total_tackles;30;14,5666666666667;14;15;5,59361294219813;5;34
Croatia;interceptions;30;9,13333333333333;9;8;3,89281684497303;1;16
Croatia;passes;30;566,5;556;706;99,4726612935815;371;720
Croatia;accurate_passes;30;502,433333333333;497,5;632;94,6750097505375;299;639
Croatia;ball_possession;30;59,2333333333333;60,5;63;12,1646274468041;38;81
Croatia;big_chances;30;3,5;3;3;2,63595824361255;0;13
Croatia;goalkeeper_saves;30;2,73333333333333;3;3;1,68017514139066;0;6
Croatia;aerial_duels;30;11,7666666666667;12,5;13;5,99817980053451;3;28
Croatia;ground_duels;30;33,5333333333333;33;40;7,55546540401479;23;58
Croatia;dribbles;30;9,53333333333333;10;11;2,90935866061439;3;16
Croatia;duels;30;50,9;50;50;6,8044103344816;39;64
Croatia;dispossessed;30;9,36666666666667;8;7;4,27892456141714;1;19
Croatia;recoveries;30;49,8;48;60;9,54264475737818;36;71
Croatia;clearances;30;15,8666666666667;14;14;9,18294270817417;4;41
Croatia;long_balls;30;26,2;25,5;20;6,48818554945356;12;39
Croatia;crosses;30;5,26666666666667;4;2;3,36240198763277;1;13
Türkiye;goles;31;1,7741935483871;1;1;1,52117668093606;0;6
Türkiye;expected_goals;31;1,5458064516129;1,43;1,43;0,752204644998281;0,42;3,67
Türkiye;total_shots;31;14,741935483871;14;10;6,14257135047685;5;29
Türkiye;shots_on_target;31;4,83870967741936;5;3;2,62166326586194;1;12
Türkiye;shots_off_target;31;5,67741935483871;5;3;3,44854652256274;1;12
Türkiye;shots_inside_box;31;8,51612903225806;8;5;3,5950982160152;2;16
Türkiye;shots_outside_box;31;6,2258064516129;6;9;3,49961595435228;0;13
Türkiye;blocked_shots;31;4,2258064516129;4;2;2,62944452206615;0;10
Türkiye;corner_kicks;31;5,67741935483871;5;9;2,52173348808835;2;10
Türkiye;free_kicks;31;11,9032258064516;12;12;3,31013432466295;5;17
Türkiye;throw-ins;31;16,8387096774194;16;21;5,80859578092989;6;28
Türkiye;goal_kicks;31;6,51612903225807;6;4;3,06453876618691;2;15
Türkiye;yellow_cards;31;3;3;3;2,19089023002066;0;11
Türkiye;red_cards;31;0,0967741935483871;0;0;0,300537153518764;0;1
Türkiye;fouls;31;10,5483870967742;10;9;3,91440680629406;4;20
Türkiye;offsides;31;1,70967741935484;2;2;1,32145244301102;0;5
Türkiye;tackles;31;15,741935483871;17;20;5,83076748484842;4;26
Türkiye;total_tackles;31;15,741935483871;17;20;5,83076748484842;4;26
Türkiye;interceptions;31;8,41935483870968;8;8;2,87256207996029;3;13
Türkiye;passes;31;483,612903225806;509;509;97,2624207729977;284;717
Türkiye;accurate_passes;31;411,451612903226;430;464;93,0311197788774;230;628
Türkiye;ball_possession;31;53,7096774193548;56;45;12,4825038844699;27;78
Türkiye;big_chances;31;2,29032258064516;2;1;1,73577165140074;0;7
Türkiye;goalkeeper_saves;31;2,64516129032258;2;2;1,56094815409896;0;6
Türkiye;aerial_duels;31;12,4516129032258;12;11;5,27787021235788;5;26
Türkiye;ground_duels;31;35,8064516129032;38;38;7,38656146813798;21;49
Türkiye;dribbles;31;8,64516129032258;8;9;3,26137381172183;3;18
Türkiye;duels;31;53,5161290322581;53;51;5,87009919133647;42;64
Türkiye;dispossessed;31;7,54838709677419;8;9;3,37479589187672;1;17
Türkiye;recoveries;31;46,8709677419355;47;48;7,80060653831427;31;64
Türkiye;clearances;31;18,6451612903226;16;15;10,3458474345887;6;55
Türkiye;long_balls;31;22,8064516129032;22;20;5,70040556942346;13;41
Türkiye;crosses;31;3,70967741935484;4;4;2,26853180694911;0;10
Austria;goles;30;2,26666666666667;2;1;2,09980842038002;0;10
Austria;expected_goals;30;1,977;1,81;1,81;1,35679935243153;0,11;7,05
Austria;total_shots;30;14;12,5;11;6,50198908557724;3;29
Austria;shots_on_target;30;5,63333333333333;5;3;3,20003591933864;1;14
Austria;shots_off_target;30;5,23333333333333;4,5;3;3,4409635111488;1;14
Austria;shots_inside_box;30;9,46666666666667;10;10;4,86885480646494;1;21
Austria;shots_outside_box;30;4,53333333333333;4;4;2,45979159943351;1;12
Austria;blocked_shots;30;3,13333333333333;3;1;2,50149380658194;0;11
Austria;corner_kicks;30;4,6;4;3;2,77426597934263;1;14
Austria;free_kicks;30;10,3;10;9;3,40537101123181;5;17
Austria;throw-ins;30;20,5333333333333;20,5;24;4,17491138318782;11;28
Austria;goal_kicks;30;5,8;6;5;2,4268611769967;1;10
Austria;yellow_cards;30;1,96666666666667;1,5;1;1,39539472436354;0;5
Austria;red_cards;30;0,1;0;0;0,305128576629365;0;1
