equipo;elo
Spain;2165
Argentina;2113
France;2081
England;2020
Brazil;1984
Portugal;1984
Colombia;1975
Netherlands;1961
Ecuador;1933
Croatia;1930
Germany;1923
Norway;1912
Japan;1904
Türkiye;1902
Uruguay;1892
Switzerland;1889
Senegal;1878
Belgium;1866
Mexico;1858
Paraguay;1833
Austria;1827
Morocco;1821
Canada;1784
Australia;1783
Scotland;1767
Iran;1760
South Korea;1752
Algeria;1743
Panama;1737
Uzbekistan;1727
Czechia;1726
USA;1721
Sweden;1719
Jordan;1690
Egypt;1689
Côte d'Ivoire;1676
DR Congo;1655
Tunisia;1636
Iraq;1607
Bosnia & Herzegovina;1594
New Zealand;1585
Saudi Arabia;1568
Cabo Verde;1549
Haiti;1532
South Africa;1524
Ghana;1505
Curaçao;1436
Qatar;1425
