equipo;motivo
ASWH;club amateur NL (liga colada en amistosos)
Blauw Geel '38;club amateur NL
FC Lisse;club amateur NL
FC Rijnvogels;club amateur NL
RBC Roosendaal;club amateur NL
RKSV UDI '19;club amateur NL
SteDoCo;club amateur NL
SV Meerssen;club amateur NL
SV TOGB;club amateur NL
SVV Scheveningen;club amateur NL
VV Gemert;club amateur NL
VV Goes;club amateur NL
VV Kloetinge;club amateur NL
VV Noordwijk;club amateur NL
VV UNA;club amateur NL
VV Zwaluwen;club amateur NL
VVSB Noordwijkerhout;club amateur NL
Udinese;club Serie A (amistoso vs UAE/Qatar)
Lecce;club Serie A (amistoso vs UAE)
Basque Country;selección no-FIFA (amistoso vs Uruguay)
