partido_id;fecha;equipo_a;equipo_b;p_1;p_X;p_2;btts_si;btts_no;goles_over_2_5;goles_under_2_5;corners_over_9_5;corners_under_9_5
ARG_ALG;2026-06-17;Argentina;Algeria;0,663;0,2217;0,1154;0,42;0,58;0,4765;0,5235;0,337;0,663
ARG_AUT;2026-06-22;Argentina;Austria;0,5528;0,2474;0,1998;0,524;0,476;0,5247;0,4753;0,5365;0,4635
ARG_JOR;2026-06-28;Argentina;Jordan;0,6905;0,2017;0,1078;0,4451;0,5549;0,5275;0,4725;0,2156;0,7844
AUS_TUR;2026-06-14;Australia;Türkiye;0,3471;0,2849;0,368;0,5206;0,4794;0,461;0,539;0,1831;0,8169
AUS_USA;2026-06-19;Australia;USA;0,3705;0,2862;0,3433;0,5296;0,4704;0,4722;0,5278;0,0996;0,9004
AUT_ALG;2026-06-28;Austria;Algeria;0,4884;0,2636;0,248;0,5481;0,4519;0,511;0,489;0,3971;0,6029
BRA_SCO;2026-06-25;Brazil;Scotland;0,4956;0,2662;0,2382;0,521;0,479;0,4868;0,5132;0,5777;0,4223
CAN_BIH;2026-06-12;Canada;Bosnia & Herzegovina;0,5058;0,2504;0,2439;0,6;0,4;0,5847;0,4153;0,4634;0,5366
CAN_SUI;2026-06-24;Canada;Switzerland;0,3096;0,2692;0,4213;0,5558;0,4442;0,5115;0,4885;0,448;0,552
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;0,345;0,2774;0,3775;0,5587;0,4413;0,5097;0,4903;0,2767;0,7233
CIV_GER;2026-06-20;Côte d'Ivoire;Germany;0,259;0,2535;0,4876;0,5932;0,4068;0,5734;0,4266;0,631;0,369
COD_COL;2026-06-24;DR Congo;Colombia;0,1628;0,2394;0,5978;0,4819;0,5181;0,4964;0,5036;0,3296;0,6704
COD_POR;2026-06-17;DR Congo;Portugal;0,1674;0,2362;0,5964;0,5101;0,4899;0,5201;0,4799;0,6594;0,3406
COD_UZB;2026-06-28;DR Congo;Uzbekistan;0,2381;0,2673;0,4946;0,5361;0,4639;0,5035;0,4965;0,4031;0,5969
COL_POR;2026-06-28;Colombia;Portugal;0,3104;0,2706;0,4191;0,5909;0,4091;0,5432;0,4568;0,6851;0,3149
COL_UZB;2026-06-18;Colombia;Uzbekistan;0,5682;0,2415;0,1903;0,5351;0,4649;0,5429;0,4571;0,3317;0,6683
CPV_ESP;2026-06-15;Cabo Verde;Spain;0,0824;0,1709;0,7467;0,4536;0,5464;0,5906;0,4094;0,7022;0,2978
CPV_URU;2026-06-22;Cabo Verde;Uruguay;0,1844;0,2525;0,5632;0,4879;0,5121;0,4807;0,5193;0,4256;0,5744
CRO_ENG;2026-06-17;Croatia;England;0,3256;0,2551;0,4193;0,6127;0,3873;0,5796;0,4204;0,4346;0,5654
CUR_CIV;2026-06-25;Curaçao;Côte d'Ivoire;0,1498;0,2242;0,626;0,509;0,491;0,5429;0,4571;0,3799;0,6201
CUR_ECU;2026-06-21;Curaçao;Ecuador;0,1121;0,2319;0,6559;0,4047;0,5953;0,4503;0,5497;0,3665;0,6335
CUR_GER;2026-06-14;Curaçao;Germany;0,0644;0,1641;0,7715;0,3897;0,6102;0,5474;0,4526;0,2732;0,7268
ECU_GER;2026-06-25;Ecuador;Germany;0,2782;0,2756;0,4462;0,5499;0,4501;0,5091;0,4909;0,3537;0,6463
EGY_BEL;2026-06-15;Egypt;Belgium;0,2341;0,2626;0,5033;0,5463;0,4537;0,5156;0,4844;0,2805;0,7195
FRA_NOR;2026-06-26;France;Norway;0,4946;0,244;0,2615;0,6329;0,3671;0,6246;0,3754;0,4479;0,5521
GHA_CRO;2026-06-27;Ghana;Croatia;0,0911;0,1933;0,7157;0,4156;0,5844;0,5225;0,4775;0,5453;0,4547
GHA_ENG;2026-06-23;Ghana;England;0,0652;0,1693;0,7655;0,3674;0,6326;0,5191;0,4809;0,4982;0,5018
HAI_BRA;2026-06-20;Haiti;Brazil;0,1178;0,2155;0,6666;0,4391;0,5609;0,501;0,499;0,565;0,435
HAI_MAR;2026-06-25;Haiti;Morocco;0,1341;0,2182;0,6476;0,5026;0,4974;0,5492;0,4508;0,2894;0,7106
HAI_SCO;2026-06-14;Haiti;Scotland;0,2319;0,2515;0,5167;0,5517;0,4483;0,5372;0,4628;0,6208;0,3792
IRN_BEL;2026-06-21;Iran;Belgium;0,2704;0,2577;0,4718;0,5808;0,4192;0,5558;0,4442;0,37;0,63
IRN_EGY;2026-06-27;Iran;Egypt;0,3978;0,2792;0,323;0,551;0,449;0,4976;0,5024;0,3378;0,6622
IRQ_FRA;2026-06-22;Iraq;France;0,0804;0,1835;0,7361;0,4026;0,5974;0,5228;0,4772;0,3608;0,6392
IRQ_NOR;2026-06-17;Iraq;Norway;0,1134;0,2099;0,6767;0,4592;0,5408;0,5222;0,4778;0,3652;0,6348
IRQ_SEN;2026-06-26;Iraq;Senegal;0,1844;0,2418;0,5738;0,5192;0,4808;0,5208;0,4792;0,1909;0,8091
JOR_ALG;2026-06-23;Jordan;Algeria;0,2829;0,2775;0,4395;0,5554;0,4446;0,5126;0,4874;0,1993;0,8007
JOR_AUT;2026-06-17;Jordan;Austria;0,2119;0,2623;0,5259;0,531;0,469;0,5106;0,4894;0,158;0,842
JPN_NED;2026-06-14;Japan;Netherlands;0,2828;0,2746;0,4426;0,5553;0,4447;0,5082;0,4918;0,1108;0,8892
JPN_SWE;2026-06-26;Japan;Sweden;0,4494;0,2712;0,2794;0,5593;0,4407;0,5152;0,4848;0,5134;0,4866
JPN_TUN;2026-06-21;Japan;Tunisia;0,6301;0,2388;0,131;0,4302;0,5698;0,4558;0,5442;0,4573;0,5427
