partido_id;a;b;prob
ARG_ALG;0;0;0,085
ARG_ALG;0;1;0,0461
ARG_ALG;0;2;0,0191
ARG_ALG;0;3;0,0045
ARG_ALG;1;0;0,1352
ARG_ALG;1;1;0,1091
ARG_ALG;1;2;0,0356
ARG_ALG;1;3;0,0084
ARG_ALG;1;4;0,0015
ARG_ALG;2;0;0,1336
ARG_ALG;2;1;0,0941
ARG_ALG;2;2;0,0332
ARG_ALG;2;3;0,0078
ARG_ALG;2;4;0,0014
ARG_ALG;3;0;0,083
ARG_ALG;3;1;0,0585
ARG_ALG;3;2;0,0206
ARG_ALG;3;3;0,0048
ARG_ALG;4;0;0,0387
ARG_ALG;4;1;0,0272
ARG_ALG;4;2;0,0096
ARG_ALG;4;3;0,0023
ARG_ALG;5;0;0,0144
ARG_ALG;5;1;0,0102
ARG_ALG;5;2;0,0036
ARG_ALG;6;0;0,0045
ARG_ALG;6;1;0,0032
ARG_ALG;6;2;0,0011
ARG_AUT;0;0;0,0695
ARG_AUT;0;1;0,0525
ARG_AUT;0;2;0,031
ARG_AUT;0;3;0,0104
ARG_AUT;0;4;0,0026
ARG_AUT;1;0;0,1001
ARG_AUT;1;1;0,1188
ARG_AUT;1;2;0,0556
ARG_AUT;1;3;0,0187
ARG_AUT;1;4;0,0047
ARG_AUT;2;0;0,0977
ARG_AUT;2;1;0,0987
ARG_AUT;2;2;0,0498
ARG_AUT;2;3;0,0168
ARG_AUT;2;4;0,0042
ARG_AUT;3;0;0,0585
ARG_AUT;3;1;0,059
ARG_AUT;3;2;0,0298
ARG_AUT;3;3;0,01
ARG_AUT;3;4;0,0025
ARG_AUT;4;0;0,0262
ARG_AUT;4;1;0,0265
ARG_AUT;4;2;0,0134
ARG_AUT;4;3;0,0045
ARG_AUT;4;4;0,0011
ARG_AUT;5;0;0,0094
ARG_AUT;5;1;0,0095
ARG_AUT;5;2;0,0048
ARG_AUT;5;3;0,0016
ARG_AUT;6;0;0,0028
ARG_AUT;6;1;0,0028
ARG_AUT;6;2;0,0014
ARG_JOR;0;0;0,0757
ARG_JOR;0;1;0,0421
ARG_JOR;0;2;0,0184
ARG_JOR;0;3;0,0045
ARG_JOR;1;0;0,1251
ARG_JOR;1;1;0,1056
ARG_JOR;1;2;0,036
ARG_JOR;1;3;0,0088
ARG_JOR;1;4;0,0016
ARG_JOR;2;0;0,1302
ARG_JOR;2;1;0,0958
ARG_JOR;2;2;0,0352
ARG_JOR;2;3;0,0086
ARG_JOR;2;4;0,0016
ARG_JOR;3;0;0,085
ARG_JOR;3;1;0,0625
ARG_JOR;3;2;0,023
ARG_JOR;3;3;0,0056
ARG_JOR;3;4;0,001
ARG_JOR;4;0;0,0416
ARG_JOR;4;1;0,0306
ARG_JOR;4;2;0,0113
ARG_JOR;4;3;0,0028
ARG_JOR;5;0;0,0163
ARG_JOR;5;1;0,012
ARG_JOR;5;2;0,0044
ARG_JOR;5;3;0,0011
ARG_JOR;6;0;0,0053
ARG_JOR;6;1;0,0039
ARG_JOR;6;2;0,0014
AUS_TUR;0;0;0,0995
AUS_TUR;0;1;0,1084
AUS_TUR;0;2;0,079
AUS_TUR;0;3;0,0351
AUS_TUR;0;4;0,0117
AUS_TUR;0;5;0,0031
AUS_TUR;1;0;0,0866
AUS_TUR;1;1;0,1393
AUS_TUR;1;2;0,0858
AUS_TUR;1;3;0,0381
AUS_TUR;1;4;0,0127
AUS_TUR;1;5;0,0034
AUS_TUR;2;0;0,0526
AUS_TUR;2;1;0,0701
AUS_TUR;2;2;0,0466
AUS_TUR;2;3;0,0207
AUS_TUR;2;4;0,0069
AUS_TUR;2;5;0,0018
AUS_TUR;3;0;0,0191
AUS_TUR;3;1;0,0254
AUS_TUR;3;2;0,0169
AUS_TUR;3;3;0,0075
AUS_TUR;3;4;0,0025
AUS_TUR;4;0;0,0052
AUS_TUR;4;1;0,0069
AUS_TUR;4;2;0,0046
AUS_TUR;4;3;0,002
AUS_TUR;5;0;0,0011
AUS_TUR;5;1;0,0015
AUS_USA;0;0;0,081
AUS_USA;0;1;0,0769
AUS_USA;0;2;0,053
AUS_USA;0;3;0,0216
AUS_USA;0;4;0,0066
AUS_USA;0;5;0,0016
AUS_USA;1;0;0,0914
AUS_USA;1;1;0,1335
AUS_USA;1;2;0,0754
AUS_USA;1;3;0,0307
AUS_USA;1;4;0,0094
AUS_USA;1;5;0,0023
AUS_USA;2;0;0,0721
AUS_USA;2;1;0,088
AUS_USA;2;2;0,0537
AUS_USA;2;3;0,0218
AUS_USA;2;4;0,0067
AUS_USA;2;5;0,0016
AUS_USA;3;0;0,0342
AUS_USA;3;1;0,0417
AUS_USA;3;2;0,0255
AUS_USA;3;3;0,0104
AUS_USA;3;4;0,0032
AUS_USA;4;0;0,0122
AUS_USA;4;1;0,0149
AUS_USA;4;2;0,0091
AUS_USA;4;3;0,0037
AUS_USA;4;4;0,0011
AUS_USA;5;0;0,0035
AUS_USA;5;1;0,0042
AUS_USA;5;2;0,0026
AUS_USA;5;3;0,0011
AUS_USA;6;1;0,001
AUT_ALG;0;0;0,0744
AUT_ALG;0;1;0,0615
AUT_ALG;0;2;0,0386
AUT_ALG;0;3;0,014
AUT_ALG;0;4;0,0038
AUT_ALG;1;0;0,0977
AUT_ALG;1;1;0,1259
AUT_ALG;1;2;0,0635
AUT_ALG;1;3;0,0231
AUT_ALG;1;4;0,0063
AUT_ALG;1;5;0,0014
AUT_ALG;2;0;0,088
AUT_ALG;2;1;0,0959
AUT_ALG;2;2;0,0522
AUT_ALG;2;3;0,019
AUT_ALG;2;4;0,0052
AUT_ALG;2;5;0,0011
AUT_ALG;3;0;0,0483
AUT_ALG;3;1;0,0526
AUT_ALG;3;2;0,0286
AUT_ALG;3;3;0,0104
AUT_ALG;3;4;0,0028
AUT_ALG;4;0;0,0199
AUT_ALG;4;1;0,0216
AUT_ALG;4;2;0,0118
AUT_ALG;4;3;0,0043
AUT_ALG;4;4;0,0012
AUT_ALG;5;0;0,0065
AUT_ALG;5;1;0,0071
AUT_ALG;5;2;0,0039
AUT_ALG;5;3;0,0014
AUT_ALG;6;0;0,0018
AUT_ALG;6;1;0,002
AUT_ALG;6;2;0,0011
BRA_SCO;0;0;0,0755
BRA_SCO;0;1;0,0628
BRA_SCO;0;2;0,0395
BRA_SCO;0;3;0,0144
BRA_SCO;0;4;0,0039
BRA_SCO;1;0;0,098
BRA_SCO;1;1;0,1268
BRA_SCO;1;2;0,0641
BRA_SCO;1;3;0,0234
BRA_SCO;1;4;0,0064
BRA_SCO;1;5;0,0014
BRA_SCO;2;0;0,0873
BRA_SCO;2;1;0,0954
BRA_SCO;2;2;0,0521
BRA_SCO;2;3;0,019
BRA_SCO;2;4;0,0052
BRA_SCO;2;5;0,0011
BRA_SCO;3;0;0,0473
BRA_SCO;3;1;0,0517
BRA_SCO;3;2;0,0283
BRA_SCO;3;3;0,0103
BRA_SCO;3;4;0,0028
BRA_SCO;4;0;0,0192
BRA_SCO;4;1;0,021
BRA_SCO;4;2;0,0115
BRA_SCO;4;3;0,0042
BRA_SCO;4;4;0,0011
BRA_SCO;5;0;0,0063
BRA_SCO;5;1;0,0068
BRA_SCO;5;2;0,0037
BRA_SCO;5;3;0,0014
BRA_SCO;6;0;0,0017
BRA_SCO;6;1;0,0019
BRA_SCO;6;2;0,001
CAN_BIH;0;0;0,0423
CAN_BIH;0;1;0,0367
CAN_BIH;0;2;0,0278
CAN_BIH;0;3;0,0117
CAN_BIH;0;4;0,0037
CAN_BIH;1;0;0,0659
CAN_BIH;1;1;0,0999
CAN_BIH;1;2;0,0584
CAN_BIH;1;3;0,0245
CAN_BIH;1;4;0,0077
CAN_BIH;1;5;0,002
CAN_BIH;2;0;0,0769
CAN_BIH;2;1;0,0971
CAN_BIH;2;2;0,0612
CAN_BIH;2;3;0,0258
CAN_BIH;2;4;0,0081
CAN_BIH;2;5;0,0021
CAN_BIH;3;0;0,0538
CAN_BIH;3;1;0,0679
CAN_BIH;3;2;0,0429
CAN_BIH;3;3;0,018
CAN_BIH;3;4;0,0057
CAN_BIH;3;5;0,0014
CAN_BIH;4;0;0,0282
CAN_BIH;4;1;0,0356
CAN_BIH;4;2;0,0225
CAN_BIH;4;3;0,0095
CAN_BIH;4;4;0,003
CAN_BIH;5;0;0,0119
CAN_BIH;5;1;0,015
CAN_BIH;5;2;0,0094
CAN_BIH;5;3;0,004
CAN_BIH;5;4;0,0013
CAN_BIH;6;0;0,0041
CAN_BIH;6;1;0,0052
CAN_BIH;6;2;0,0033
CAN_BIH;6;3;0,0014
CAN_SUI;0;0;0,0708
CAN_SUI;0;1;0,084
CAN_SUI;0;2;0,0713
CAN_SUI;0;3;0,0363
CAN_SUI;0;4;0,0138
CAN_SUI;0;5;0,0042
CAN_SUI;0;6;0,0011
CAN_SUI;1;0;0,0682
CAN_SUI;1;1;0,128
CAN_SUI;1;2;0,0904
CAN_SUI;1;3;0,046
CAN_SUI;1;4;0,0175
CAN_SUI;1;5;0,0054
CAN_SUI;1;6;0,0014
CAN_SUI;2;0;0,0493
CAN_SUI;2;1;0,0752
CAN_SUI;2;2;0,0573
CAN_SUI;2;3;0,0292
CAN_SUI;2;4;0,0111
CAN_SUI;2;5;0,0034
CAN_SUI;3;0;0,0208
CAN_SUI;3;1;0,0318
CAN_SUI;3;2;0,0242
CAN_SUI;3;3;0,0123
CAN_SUI;3;4;0,0047
CAN_SUI;3;5;0,0014
CAN_SUI;4;0;0,0066
CAN_SUI;4;1;0,0101
CAN_SUI;4;2;0,0077
CAN_SUI;4;3;0,0039
CAN_SUI;4;4;0,0015
CAN_SUI;5;0;0,0017
CAN_SUI;5;1;0,0026
CAN_SUI;5;2;0,0019
CIV_ECU;0;0;0,0726
CIV_ECU;0;1;0,0851
CIV_ECU;0;2;0,0712
CIV_ECU;0;3;0,0357
CIV_ECU;0;4;0,0134
CIV_ECU;0;5;0,004
CIV_ECU;0;6;0,001
CIV_ECU;1;0;0,07
CIV_ECU;1;1;0,1292
CIV_ECU;1;2;0,0899
CIV_ECU;1;3;0,045
CIV_ECU;1;4;0,0169
CIV_ECU;1;5;0,0051
CIV_ECU;1;6;0,0013
CIV_ECU;2;0;0,0502
CIV_ECU;2;1;0,0755
CIV_ECU;2;2;0,0567
CIV_ECU;2;3;0,0284
CIV_ECU;2;4;0,0107
CIV_ECU;2;5;0,0032
CIV_ECU;3;0;0,0211
CIV_ECU;3;1;0,0318
CIV_ECU;3;2;0,0239
CIV_ECU;3;3;0,012
CIV_ECU;3;4;0,0045
CIV_ECU;3;5;0,0014
CIV_ECU;4;0;0,0067
CIV_ECU;4;1;0,01
CIV_ECU;4;2;0,0075
CIV_ECU;4;3;0,0038
CIV_ECU;4;4;0,0014
CIV_ECU;5;0;0,0017
CIV_ECU;5;1;0,0025
CIV_ECU;5;2;0,0019
CIV_GER;0;0;0,0559
CIV_GER;0;1;0,0788
CIV_GER;0;2;0,0803
CIV_GER;0;3;0,0493
CIV_GER;0;4;0,0227
CIV_GER;0;5;0,0083
CIV_GER;0;6;0,0026
CIV_GER;1;0;0,049
CIV_GER;1;1;0,1142
CIV_GER;1;2;0,0973
CIV_GER;1;3;0,0597
CIV_GER;1;4;0,0275
CIV_GER;1;5;0,0101
CIV_GER;1;6;0,0031
CIV_GER;2;0;0,0348
CIV_GER;2;1;0,064
CIV_GER;2;2;0,0589
CIV_GER;2;3;0,0362
CIV_GER;2;4;0,0166
CIV_GER;2;5;0,0061
CIV_GER;2;6;0,0019
CIV_GER;3;0;0,0141
CIV_GER;3;1;0,0259
CIV_GER;3;2;0,0238
CIV_GER;3;3;0,0146
CIV_GER;3;4;0,0067
CIV_GER;3;5;0,0025
CIV_GER;4;0;0,0043
CIV_GER;4;1;0,0078
CIV_GER;4;2;0,0072
CIV_GER;4;3;0,0044
CIV_GER;4;4;0,002
CIV_GER;5;0;0,001
CIV_GER;5;1;0,0019
CIV_GER;5;2;0,0017
CIV_GER;5;3;0,0011
COD_COL;0;0;0,0719
COD_COL;0;1;0,1139
COD_COL;0;2;0,1171
COD_COL;0;3;0,0749
COD_COL;0;4;0,0359
COD_COL;0;5;0,0138
COD_COL;0;6;0,0044
COD_COL;1;0;0,0453
COD_COL;1;1;0,1108
COD_COL;1;2;0,0983
COD_COL;1;3;0,0629
COD_COL;1;4;0,0301
COD_COL;1;5;0,0116
COD_COL;1;6;0,0037
COD_COL;2;0;0,0225
COD_COL;2;1;0,0431
COD_COL;2;2;0,0413
COD_COL;2;3;0,0264
COD_COL;2;4;0,0126
COD_COL;2;5;0,0049
COD_COL;2;6;0,0016
COD_COL;3;0;0,0063
COD_COL;3;1;0,0121
COD_COL;3;2;0,0116
COD_COL;3;3;0,0074
COD_COL;3;4;0,0035
COD_COL;3;5;0,0014
COD_COL;4;0;0,0013
COD_COL;4;1;0,0025
COD_COL;4;2;0,0024
COD_COL;4;3;0,0016
COD_POR;0;0;0,0678
COD_POR;0;1;0,1027
COD_POR;0;2;0,1041
COD_POR;0;3;0,065
COD_POR;0;4;0,0305
COD_POR;0;5;0,0114
COD_POR;0;6;0,0036
COD_POR;1;0;0,0481
COD_POR;1;1;0,1146
COD_POR;1;2;0,0994
COD_POR;1;3;0,0621
COD_POR;1;4;0,0291
COD_POR;1;5;0,0109
COD_POR;1;6;0,0034
COD_POR;2;0;0,027
COD_POR;2;1;0,0506
COD_POR;2;2;0,0474
COD_POR;2;3;0,0296
COD_POR;2;4;0,0139
COD_POR;2;5;0,0052
COD_POR;2;6;0,0016
COD_POR;3;0;0,0086
COD_POR;3;1;0,0161
COD_POR;3;2;0,0151
COD_POR;3;3;0,0094
COD_POR;3;4;0,0044
COD_POR;3;5;0,0017
COD_POR;4;0;0,0021
COD_POR;4;1;0,0038
COD_POR;4;2;0,0036
COD_POR;4;3;0,0022
COD_POR;4;4;0,0011
COD_UZB;0;0;0,0685
COD_UZB;0;1;0,0966
COD_UZB;0;2;0,0934
COD_UZB;0;3;0,0551
COD_UZB;0;4;0,0244
COD_UZB;0;5;0,0086
COD_UZB;0;6;0,0025
COD_UZB;1;0;0,0538
COD_UZB;1;1;0,1199
COD_UZB;1;2;0,0983
COD_UZB;1;3;0,058
COD_UZB;1;4;0,0257
COD_UZB;1;5;0,0091
COD_UZB;1;6;0,0027
COD_UZB;2;0;0,033
COD_UZB;2;1;0,0584
COD_UZB;2;2;0,0517
COD_UZB;2;3;0,0305
COD_UZB;2;4;0,0135
COD_UZB;2;5;0,0048
COD_UZB;2;6;0,0014
COD_UZB;3;0;0,0116
COD_UZB;3;1;0,0205
COD_UZB;3;2;0,0181
COD_UZB;3;3;0,0107
COD_UZB;3;4;0,0047
COD_UZB;3;5;0,0017
COD_UZB;4;0;0,003
COD_UZB;4;1;0,0054
COD_UZB;4;2;0,0048
COD_UZB;4;3;0,0028
COD_UZB;4;4;0,0012
COD_UZB;5;1;0,0011
COD_UZB;5;2;0,001
COL_POR;0;0;0,0625
COL_POR;0;1;0,0816
COL_POR;0;2;0,0766
COL_POR;0;3;0,0432
COL_POR;0;4;0,0183
COL_POR;0;5;0,0062
COL_POR;0;6;0,0017
COL_POR;1;0;0,0573
COL_POR;1;1;0,1211
COL_POR;1;2;0,0948
COL_POR;1;3;0,0535
COL_POR;1;4;0,0226
COL_POR;1;5;0,0077
COL_POR;1;6;0,0022
COL_POR;2;0;0,041
COL_POR;2;1;0,0694
COL_POR;2;2;0,0587
COL_POR;2;3;0,0331
COL_POR;2;4;0,014
COL_POR;2;5;0,0047
COL_POR;2;6;0,0013
COL_POR;3;0;0,0169
COL_POR;3;1;0,0286
COL_POR;3;2;0,0242
COL_POR;3;3;0,0137
COL_POR;3;4;0,0058
COL_POR;3;5;0,002
COL_POR;4;0;0,0052
COL_POR;4;1;0,0089
COL_POR;4;2;0,0075
COL_POR;4;3;0,0042
COL_POR;4;4;0,0018
COL_POR;5;0;0,0013
COL_POR;5;1;0,0022
COL_POR;5;2;0,0019
COL_POR;5;3;0,001
COL_UZB;0;0;0,0582
COL_UZB;0;1;0,0413
COL_UZB;0;2;0,0241
COL_UZB;0;3;0,0079
COL_UZB;0;4;0,0019
COL_UZB;1;0;0,0934
COL_UZB;1;1;0,1072
COL_UZB;1;2;0,0486
COL_UZB;1;3;0,0159
COL_UZB;1;4;0,0039
COL_UZB;2;0;0,1022
COL_UZB;2;1;0,1
COL_UZB;2;2;0,049
COL_UZB;2;3;0,016
COL_UZB;2;4;0,0039
COL_UZB;3;0;0,0686
COL_UZB;3;1;0,0672
COL_UZB;3;2;0,0329
COL_UZB;3;3;0,0107
COL_UZB;3;4;0,0026
COL_UZB;4;0;0,0346
COL_UZB;4;1;0,0339
COL_UZB;4;2;0,0166
COL_UZB;4;3;0,0054
COL_UZB;4;4;0,0013
COL_UZB;5;0;0,0139
COL_UZB;5;1;0,0136
COL_UZB;5;2;0,0067
COL_UZB;5;3;0,0022
COL_UZB;6;0;0,0047
COL_UZB;6;1;0,0046
COL_UZB;6;2;0,0022
CPV_ESP;0;0;0,0494
CPV_ESP;0;1;0,0999
CPV_ESP;0;2;0,1292
CPV_ESP;0;3;0,1051
CPV_ESP;0;4;0,0641
CPV_ESP;0;5;0,0313
CPV_ESP;0;6;0,0127
CPV_ESP;1;0;0,0248
CPV_ESP;1;1;0,0812
CPV_ESP;1;2;0,0917
CPV_ESP;1;3;0,0746
CPV_ESP;1;4;0,0455
CPV_ESP;1;5;0,0222
CPV_ESP;1;6;0,009
CPV_ESP;2;0;0,0109
CPV_ESP;2;1;0,0267
CPV_ESP;2;2;0,0326
CPV_ESP;2;3;0,0265
CPV_ESP;2;4;0,0162
CPV_ESP;2;5;0,0079
CPV_ESP;2;6;0,0032
CPV_ESP;3;0;0,0026
CPV_ESP;3;1;0,0063
CPV_ESP;3;2;0,0077
CPV_ESP;3;3;0,0063
CPV_ESP;3;4;0,0038
CPV_ESP;3;5;0,0019
CPV_ESP;4;1;0,0011
CPV_ESP;4;2;0,0014
CPV_ESP;4;3;0,0011
CPV_URU;0;0;0,0803
CPV_URU;0;1;0,1218
CPV_URU;0;2;0,1185
CPV_URU;0;3;0,0717
CPV_URU;0;4;0,0326
