partido_id;fecha;equipo_a;equipo_b;mercado;ambito;evento_o_jugador;linea_o_target;probabilidad;periodo
ARG_ALG;2026-06-17;Argentina;Algeria;1X2;-;gana_A;-;0,7064;FT
ARG_ALG;2026-06-17;Argentina;Algeria;1X2;-;empate;-;0,2049;FT
ARG_ALG;2026-06-17;Argentina;Algeria;1X2;-;gana_B;-;0,0887;FT
ARG_ALG;2026-06-17;Argentina;Algeria;doble_oportunidad;-;1X;-;0,9113;FT
ARG_ALG;2026-06-17;Argentina;Algeria;doble_oportunidad;-;X2;-;0,2936;FT
ARG_ALG;2026-06-17;Argentina;Algeria;doble_oportunidad;-;12;-;0,7951;FT
ARG_ALG;2026-06-17;Argentina;Algeria;btts;-;si;-;0,3966;FT
ARG_ALG;2026-06-17;Argentina;Algeria;btts;-;no;-;0,6034;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;over;0.5;0,87;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;under;0.5;0,13;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;over;1.5;0,6039;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;under;1.5;0,3961;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;over;2.5;0,3296;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;under;2.5;0,6704;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;over;3.5;0,1457;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;under;3.5;0,8543;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;over;4.5;0,0515;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;A;under;4.5;0,9485;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;B;over;0.5;0,4473;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;B;under;0.5;0,5527;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;B;over;1.5;0,121;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;B;under;1.5;0,879;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;0.5;0,9207;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;0.5;0,0793;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;1.5;0,7453;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;1.5;0,2547;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;2.5;0,4867;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;2.5;0,5133;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;3.5;0,2676;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;3.5;0,7325;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;4.5;0,1234;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;4.5;0,8766;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;5.5;0,0478;FT
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;5.5;0,9522;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;over;1.5;0,9619;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;under;1.5;0,0381;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;over;2.5;0,8811;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;under;2.5;0,1189;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;over;3.5;0,7446;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;under;3.5;0,2554;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;over;4.5;0,5717;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;under;4.5;0,4283;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;over;5.5;0,3963;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;under;5.5;0,6037;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;over;6.5;0,2481;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;under;6.5;0,7519;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;over;7.5;0,1408;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;under;7.5;0,8592;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;over;8.5;0,0727;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;under;8.5;0,9273;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;over;9.5;0,0344;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;A;under;9.5;0,9656;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;0.5;0,9467;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;0.5;0,0533;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;1.5;0,8102;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;1.5;0,1898;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;2.5;0,6188;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;2.5;0,3812;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;3.5;0,4245;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;3.5;0,5755;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;4.5;0,2649;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;4.5;0,7351;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;5.5;0,1524;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;5.5;0,8476;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;6.5;0,0817;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;6.5;0,9183;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;7.5;0,0412;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;7.5;0,9588;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;3.5;0,9687;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;3.5;0,0313;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;4.5;0,9232;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;4.5;0,0768;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;5.5;0,8463;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;5.5;0,1537;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;6.5;0,738;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;6.5;0,262;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;7.5;0,6074;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;7.5;0,3926;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;8.5;0,4694;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;8.5;0,5306;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;9.5;0,34;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;9.5;0,66;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;10.5;0,2307;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;10.5;0,7693;FT
