partido_id;fecha;equipo_a;equipo_b;p_1;p_X;p_2;btts_si;btts_no;goles_over_2_5;goles_under_2_5;corners_over_9_5;corners_under_9_5
ARG_ALG;2026-06-17;Argentina;Algeria;0,5973;0,2498;0,1529;0,4584;0,5416;0,457;0,543;0,2351;0,7649
ARG_AUT;2026-06-22;Argentina;Austria;0,5238;0,2584;0,2178;0,524;0,476;0,5056;0,4944;0,4216;0,5784
ARG_JOR;2026-06-28;Argentina;Jordan;0,6395;0,2256;0,1349;0,4883;0,5117;0,5286;0,4714;0,3055;0,6945
AUS_TUR;2026-06-14;Australia;Türkiye;0,3106;0,2914;0,398;0,5257;0,4743;0,462;0,538;0,4187;0,5813
AUS_USA;2026-06-19;Australia;USA;0,4128;0,261;0,3262;0,5984;0,4015;0,5656;0,4344;0,2169;0,7831
AUT_ALG;2026-06-28;Austria;Algeria;0,466;0,246;0,288;0,6484;0,3516;0,6338;0,3662;0,4435;0,5565
BRA_SCO;2026-06-25;Brazil;Scotland;0,3694;0,2973;0,3333;0,5154;0,4847;0,4476;0,5524;0,5806;0,4194
CAN_BIH;2026-06-12;Canada;Bosnia & Herzegovina;0,5725;0,21;0,2175;0,6908;0,3092;0,7249;0,2751;0,2951;0,7049
CAN_SUI;2026-06-24;Canada;Switzerland;0,3566;0,2646;0,3788;0,6035;0,3965;0,5654;0,4346;0,4438;0,5562
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;0,4675;0,2693;0,2632;0,546;0,4539;0,5085;0,4915;0,3083;0,6917
CIV_GER;2026-06-20;Côte d'Ivoire;Germany;0,2871;0,2356;0,4774;0,6828;0,3173;0,6745;0,3255;0,6683;0,3317
COD_COL;2026-06-24;DR Congo;Colombia;0,213;0,2396;0,5474;0,5793;0,4207;0,5752;0,4247;0,3041;0,6959
COD_POR;2026-06-17;DR Congo;Portugal;0,3347;0,2299;0,4354;0,7096;0,2904;0,7064;0,2936;0,7273;0,2727
COD_UZB;2026-06-28;DR Congo;Uzbekistan;0,2745;0,2818;0,4437;0,528;0,472;0,4728;0,5272;0,3516;0,6484
COL_POR;2026-06-28;Colombia;Portugal;0,2752;0,2583;0,4664;0,581;0,419;0,5542;0,4458;0,5025;0,4975
COL_UZB;2026-06-18;Colombia;Uzbekistan;0,6045;0,1956;0,1999;0,7075;0,2925;0,7573;0,2427;0,3507;0,6493
CPV_ESP;2026-06-15;Cabo Verde;Spain;0,0858;0,164;0,7502;0,5069;0,4931;0,6398;0,3602;0,7651;0,2349
CPV_URU;2026-06-22;Cabo Verde;Uruguay;0,1966;0,2595;0,544;0,4943;0,5057;0,473;0,527;0,3684;0,6316
CRO_ENG;2026-06-17;Croatia;England;0,313;0,2396;0,4474;0,6821;0,3179;0,6706;0,3294;0,4999;0,5001
CUR_CIV;2026-06-25;Curaçao;Côte d'Ivoire;0,3876;0,2303;0,3822;0,714;0,2861;0,7088;0,2912;0,4006;0,5994
CUR_ECU;2026-06-21;Curaçao;Ecuador;0,0986;0,2063;0,6952;0,431;0,569;0,5142;0,4858;0,5792;0,4208
CUR_GER;2026-06-14;Curaçao;Germany;0,0968;0,1631;0,7401;0,5504;0,4496;0,6867;0,3133;0,4032;0,5968
ECU_GER;2026-06-25;Ecuador;Germany;0,2696;0,2715;0,4589;0,5506;0,4494;0,5088;0,4912;0,4551;0,5449
EGY_BEL;2026-06-15;Egypt;Belgium;0,2325;0,2508;0,5167;0,5945;0,4055;0,5824;0,4176;0,2938;0,7062
FRA_NOR;2026-06-26;France;Norway;0,4433;0,2316;0,3252;0,7352;0,2649;0,736;0,264;0,3799;0,6201
GHA_CRO;2026-06-27;Ghana;Croatia;0,1696;0,2473;0,583;0,4989;0,5011;0,501;0,499;0,4886;0,5114
GHA_ENG;2026-06-23;Ghana;England;0,0993;0,1958;0,7049;0,4382;0,5618;0,5294;0,4706;0,7262;0,2738
HAI_BRA;2026-06-20;Haiti;Brazil;0,1758;0,24;0,5842;0,5312;0,4688;0,534;0,466;0,5831;0,4169
HAI_MAR;2026-06-25;Haiti;Morocco;0,1407;0,1682;0,6912;0,67;0,33;0,7628;0,2372;0,465;0,535
HAI_SCO;2026-06-14;Haiti;Scotland;0,311;0,2643;0,4246;0,5884;0,4116;0,5502;0,4498;0,4305;0,5695
IRN_BEL;2026-06-21;Iran;Belgium;0,2934;0,2184;0,4881;0,7351;0,2649;0,7452;0,2548;0,5728;0,4272
IRN_EGY;2026-06-27;Iran;Egypt;0,5364;0,2493;0,2143;0,5552;0,4448;0,5385;0,4615;0,3105;0,6895
IRQ_FRA;2026-06-22;Iraq;France;0,1253;0,2012;0,6735;0,4969;0,5031;0,57;0,43;0,3464;0,6536
IRQ_NOR;2026-06-17;Iraq;Norway;0,0906;0,1919;0,7174;0,4505;0,5495;0,5548;0,4452;0,471;0,529
IRQ_SEN;2026-06-26;Iraq;Senegal;0,1598;0,2014;0,6388;0,6048;0,3952;0,6564;0,3436;0,1568;0,8432
JOR_ALG;2026-06-23;Jordan;Algeria;0,1876;0,2034;0,609;0,6684;0,3316;0,7126;0,2874;0,3126;0,6874
JOR_AUT;2026-06-17;Jordan;Austria;0,1914;0,2394;0,5692;0,5646;0,4354;0,5704;0,4296;0,1893;0,8107
JPN_NED;2026-06-14;Japan;Netherlands;0,3804;0,2636;0,356;0,6151;0,3849;0,578;0,422;0,0654;0,9346
JPN_SWE;2026-06-26;Japan;Sweden;0,3651;0,2411;0,3938;0,6781;0,3219;0,6639;0,3361;0,5263;0,4737
JPN_TUN;2026-06-21;Japan;Tunisia;0,5531;0,2365;0,2104;0,584;0,416;0,5876;0,4124;0,6895;0,3105
KOR_CZE;2026-06-12;South Korea;Czechia;0,287;0,2288;0,4842;0,6868;0,3132;0,6868;0,3132;0,6124;0,3876
KSA_CPV;2026-06-27;Saudi Arabia;Cabo Verde;0,233;0,3086;0,4585;0,4363;0,5638;0,3697;0,6303;0,6356;0,3644
KSA_ESP;2026-06-21;Saudi Arabia;Spain;0,0213;0,1136;0,8651;0,2225;0,7776;0,5422;0,4578;0,6038;0,3962
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;0,0781;0,221;0,701;0,2992;0,7008;0,3849;0,6151;0,1553;0,8447
MAR_BRA;2026-06-14;Morocco;Brazil;0,3316;0,2652;0,4031;0,6046;0,3954;0,5708;0,4292;0,3889;0,6111
MAR_SCO;2026-06-20;Morocco;Scotland;0,4778;0,2642;0,258;0,5605;0,4395;0,5294;0,4706;0,3834;0,6166
MEX_CZE;2026-06-25;Mexico;Czechia;0,3442;0,2826;0,3732;0,5348;0,4652;0,4794;0,5206;0,3822;0,6178
MEX_KOR;2026-06-19;Mexico;South Korea;0,4339;0,2826;0,2835;0,5094;0,4906;0,4576;0,5424;0,4739;0,5261
MEX_RSA;2026-06-11;Mexico;South Africa;0,5754;0,2428;0,1819;0,5224;0,4776;0,5261;0,4739;0,5283;0,4717
NED_SWE;2026-06-20;Netherlands;Sweden;0,6018;0,1985;0,1997;0,6956;0,3044;0,7417;0,2583;0,6559;0,3441
NZL_BEL;2026-06-27;New Zealand;Belgium;0,1358;0,212;0,6522;0,5134;0,4866;0,57;0,4301;;
NZL_EGY;2026-06-22;New Zealand;Egypt;0,2473;0,265;0,4877;0,5425;0,4575;0,5145;0,4855;0,2866;0,7134
NZL_IRN;2026-06-16;New Zealand;Iran;0,1318;0,221;0,6472;0,4737;0,5263;0,5215;0,4785;0,3505;0,6495
PAN_CRO;2026-06-24;Panama;Croatia;0,1753;0,228;0,5968;0,5489;0,4511;0,5686;0,4314;0,4435;0,5565
PAN_ENG;2026-06-27;Panama;England;0,1348;0,2106;0,6546;0,5351;0,4649;0,5876;0,4124;0,3793;0,6207
PAN_GHA;2026-06-18;Panama;Ghana;0,6726;0,1993;0,1281;0,5447;0,4553;0,6164;0,3837;0,0848;0,9152
PAR_AUS;2026-06-26;Paraguay;Australia;0,2882;0,2666;0,4452;0,5651;0,4349;0,5256;0,4745;0,3114;0,6886
PAR_TUR;2026-06-20;Paraguay;Türkiye;0,2948;0,3101;0,3951;0,4668;0,5332;0,389;0,611;0,3579;0,6421
PAR_USA;2026-06-13;Paraguay;USA;0,1837;0,2296;0,5866;0,5758;0,4242;0,59;0,4101;0,5389;0,4611
QAT_BIH;2026-06-24;Qatar;Bosnia & Herzegovina;0,3856;0,3335;0,2809;0,3914;0,6085;0,308;0,692;0,1267;0,8733
QAT_CAN;2026-06-19;Qatar;Canada;0,1384;0,2354;0,6262;0,4354;0,5646;0,4658;0,5342;;
QAT_SUI;2026-06-13;Qatar;Switzerland;0,1011;0,154;0,7448;0,5818;0,4182;0,7174;0,2826;0,4251;0,5749
RSA_CZE;2026-06-18;South Africa;Czechia;0,2076;0,2544;0,538;0,5461;0,4539;0,5398;0,4603;0,5826;0,4174
RSA_KOR;2026-06-25;South Africa;South Korea;0,1956;0,226;0,5784;0,5876;0,4124;0,6055;0,3945;0,4948;0,5052
SEN_FRA;2026-06-16;Senegal;France;0,3052;0,2561;0,4386;0,6038;0,3962;0,5723;0,4277;0,2042;0,7958
SEN_NOR;2026-06-23;Senegal;Norway;0,4402;0,2543;0,3056;0,6275;0,3725;0,6;0,4;0,3227;0,6773
