partido_id;fecha;equipo_a;equipo_b;p_1;p_X;p_2;btts_si;btts_no;goles_over_2_5;goles_under_2_5;corners_over_9_5;corners_under_9_5
ARG_ALG;2026-06-17;Argentina;Algeria;0,6452;0,2273;0,1275;0,4299;0,5701;0,4733;0,5268;0,4613;0,5387
ARG_AUT;2026-06-22;Argentina;Austria;0,5445;0,2505;0,2049;0,5351;0,4649;0,5317;0,4683;0,5259;0,4741
ARG_JOR;2026-06-28;Argentina;Jordan;0,6499;0,2225;0,1276;0,4525;0,5475;0,5022;0,4978;0,2049;0,7951
AUS_TUR;2026-06-14;Australia;Türkiye;0,2935;0,2943;0,4122;0,4982;0,5018;0,4378;0,5622;0,1535;0,8465
AUS_USA;2026-06-19;Australia;USA;0,4041;0,2809;0,315;0,5387;0,4613;0,488;0,512;0,1383;0,8617
AUT_ALG;2026-06-28;Austria;Algeria;0,4967;0,2591;0,2442;0,5454;0,4546;0,5151;0,4849;0,3913;0,6087
BRA_SCO;2026-06-25;Brazil;Scotland;0,4889;0,2636;0,2475;0,5403;0,4597;0,5125;0,4875;0,5774;0,4226
CAN_BIH;2026-06-12;Canada;Bosnia & Herzegovina;0,5588;0,2269;0,2143;0,6363;0,3637;0,6475;0,3525;0,4619;0,5381
CAN_SUI;2026-06-24;Canada;Switzerland;0,3073;0,2733;0,4194;0,5709;0,4291;0,527;0,473;0,4195;0,5805
CIV_ECU;2026-06-15;Côte d'Ivoire;Ecuador;0,3034;0,2698;0,4267;0,5686;0,4314;0,5233;0,4767;0,2507;0,7493
CIV_GER;2026-06-20;Côte d'Ivoire;Germany;0,2408;0,2494;0,5098;0,5956;0,4044;0,584;0,416;0,6324;0,3676
COD_COL;2026-06-24;DR Congo;Colombia;0,1439;0,2354;0,6207;0,4983;0,5017;0,517;0,483;0,3253;0,6747
COD_POR;2026-06-17;DR Congo;Portugal;0,1779;0,2433;0,5787;0,5245;0,4755;0,5308;0,4692;0,659;0,341
COD_UZB;2026-06-28;DR Congo;Uzbekistan;0,219;0,25;0,531;0,5432;0,4568;0,5275;0,4725;0,4508;0,5492
COL_POR;2026-06-28;Colombia;Portugal;0,2666;0,2586;0,4749;0,5853;0,4147;0,5615;0,4385;0,6882;0,3118
COL_UZB;2026-06-18;Colombia;Uzbekistan;0,5988;0,2296;0,1716;0,5524;0,4476;0,5779;0,4221;0,2894;0,7106
CPV_ESP;2026-06-15;Cabo Verde;Spain;0,0828;0,1693;0,748;0,4729;0,5271;0,6054;0,3946;0,7218;0,2782
CPV_URU;2026-06-22;Cabo Verde;Uruguay;0,1539;0,246;0,6001;0,4749;0,5251;0,4886;0,5114;0,4043;0,5957
CRO_ENG;2026-06-17;Croatia;England;0,3402;0,241;0,4188;0,6562;0,3438;0,6402;0,3598;0,4558;0,5442
CUR_CIV;2026-06-25;Curaçao;Côte d'Ivoire;0,2122;0,2415;0,5463;0,5915;0,4085;0,5869;0,4131;0,3617;0,6383
