equipo;p_grupo;p_r16;p_qf;p_sf;p_final;p_campeon;p_1grupo;p_2grupo;pts_grupo
Spain;0.9882;0.6784;0.4711;0.3407;0.2292;0.1492;0.7501;0.2001;7.22
Argentina;0.9391;0.5895;0.4047;0.273;0.171;0.1052;0.6106;0.244;6.24
France;0.8819;0.5988;0.3939;0.2487;0.1487;0.0885;0.4138;0.3027;5.44
England;0.9413;0.5828;0.3502;0.2059;0.1166;0.0633;0.501;0.335;6.09
Brazil;0.8996;0.533;0.3054;0.1736;0.0909;0.0474;0.4456;0.3088;5.6
Portugal;0.857;0.4944;0.2815;0.158;0.0856;0.0429;0.4145;0.3017;5.3
Colombia;0.8601;0.4926;0.2778;0.1551;0.0843;0.0422;0.3745;0.3333;5.19
Netherlands;0.882;0.4969;0.2935;0.1605;0.079;0.0401;0.4844;0.2731;5.57
Ecuador;0.8329;0.4579;0.2435;0.1328;0.0665;0.0336;0.2962;0.3469;4.91
Croatia;0.9049;0.4879;0.2614;0.1385;0.0707;0.0331;0.3887;0.3736;5.56
Germany;0.9143;0.5094;0.2651;0.1416;0.0677;0.0326;0.4885;0.2895;5.77
Norway;0.8081;0.4522;0.2493;0.1283;0.063;0.0277;0.2756;0.3125;4.73
Switzerland;0.9233;0.5439;0.2746;0.1263;0.057;0.0251;0.4892;0.3224;5.89
Japan;0.7878;0.4076;0.2182;0.112;0.052;0.0249;0.2866;0.3238;4.65
Türkiye;0.7967;0.4718;0.2464;0.1159;0.0546;0.0245;0.3691;0.2701;4.82
Uruguay;0.8678;0.4189;0.2218;0.1129;0.0551;0.0244;0.1961;0.5276;4.98
Belgium;0.9003;0.5054;0.2574;0.1116;0.0526;0.0237;0.5059;0.2718;5.72
Senegal;0.7987;0.428;0.2231;0.1086;0.0489;0.0216;0.2887;0.3074;4.74
Mexico;0.7909;0.4465;0.2231;0.1024;0.0442;0.0198;0.246;0.3463;4.61
Morocco;0.8451;0.4094;0.1963;0.0871;0.0362;0.0147;0.3353;0.3275;5.03
Paraguay;0.6524;0.3535;0.161;0.0688;0.0311;0.0129;0.2144;0.2517;3.88
Canada;0.8856;0.4496;0.1951;0.0784;0.0314;0.0122;0.3745;0.3628;5.39
Austria;0.7464;0.3111;0.1495;0.0671;0.0295;0.0118;0.2205;0.3528;4.34
Australia;0.6586;0.3355;0.1454;0.0576;0.0231;0.0089;0.2236;0.2522;3.92
Iran;0.7403;0.3504;0.1417;0.0556;0.0221;0.0085;0.2425;0.3098;4.35
Scotland;0.7207;0.316;0.137;0.0595;0.0233;0.0084;0.192;0.2821;4.13
Czechia;0.9232;0.4457;0.1667;0.0603;0.0218;0.0072;0.55;0.2641;6.01
South Korea;0.6903;0.3389;0.1466;0.0524;0.02;0.0069;0.1674;0.2861;3.98
Panama;0.6216;0.2492;0.0961;0.037;0.0147;0.0059;0.0969;0.2308;3.5
USA;0.604;0.2742;0.1055;0.0372;0.0141;0.005;0.1929;0.226;3.65
Uzbekistan;0.6256;0.2435;0.0969;0.036;0.0127;0.004;0.1528;0.2341;3.65
Côte d'Ivoire;0.7032;0.2733;0.1011;0.035;0.0124;0.0037;0.1871;0.2766;4.04
Algeria;0.4909;0.1862;0.079;0.0291;0.0098;0.0036;0.0883;0.2097;3.01
Sweden;0.5844;0.2253;0.0897;0.0333;0.0118;0.0032;0.1458;0.2311;3.47
Egypt;0.6427;0.2763;0.0993;0.0339;0.0123;0.0028;0.1789;0.2614;3.8
DR Congo;0.3468;0.1133;0.0418;0.0154;0.0052;0.0021;0.0582;0.1309;2.36
Jordan;0.4677;0.1616;0.0611;0.0202;0.0069;0.0019;0.0807;0.1936;2.89
Tunisia;0.4324;0.1425;0.0491;0.0168;0.005;0.0016;0.0833;0.1719;2.76
Bosnia & Herzegovina;0.5659;0.2079;0.0686;0.0173;0.005;0.0014;0.1045;0.219;3.34
New Zealand;0.3968;0.1434;0.0408;0.0115;0.0034;0.001;0.0727;0.157;2.6
Cabo Verde;0.4639;0.1344;0.0391;0.0117;0.0028;0.0008;0.044;0.1882;2.81
South Africa;0.2667;0.0929;0.028;0.0056;0.0012;0.0004;0.0366;0.1036;2.0
Iraq;0.2114;0.0697;0.0248;0.0073;0.002;0.0004;0.022;0.0775;1.71
Haiti;0.2276;0.0669;0.0187;0.0052;0.0012;0.0003;0.0271;0.0817;1.8
Saudi Arabia;0.2209;0.064;0.0203;0.0053;0.0013;0.0003;0.0097;0.0842;1.74
Ghana;0.1752;0.0443;0.0112;0.0037;0.001;0.0003;0.0133;0.0607;1.51
Qatar;0.2736;0.0683;0.0153;0.0026;0.0004;0.0002;0.0318;0.0959;2.0
Curaçao;0.2412;0.0566;0.0124;0.0032;0.0004;0.0;0.0283;0.0869;1.85
