mercado;etiqueta;fuente;n;brier;acierto;ece;cob80;bins_json
anytime_scorer;Marca gol;backtest;14536;0.0772;0.9104;0.0487;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.026810116317369626, ""real"": 0.06476160894548844, ""n"": 12878}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2788564972523118, ""real"": 0.21079258010118043, ""n"": 1186}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4772275407602485, ""real"": 0.23015873015873015, ""n"": 378}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6680195664570486, ""real"": 0.2857142857142857, ""n"": 63}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8829224910295695, ""real"": 0.22580645161290322, ""n"": 31}]"
assist;Da asistencia;backtest;14536;0.0627;0.9346;0.0436;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.02537608838584636, ""real"": 0.05852268576021042, ""n"": 13687}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2721573566417297, ""real"": 0.11560693641618497, ""n"": 692}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.46800763069813317, ""real"": 0.08928571428571429, ""n"": 112}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6634999999999999, ""real"": 0.13636363636363635, ""n"": 22}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8844347826086955, ""real"": 0.08695652173913043, ""n"": 23}]"
goal_or_assist;Gol o asistencia;backtest;14536;0.1204;0.8544;0.0811;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.03148695726059988, ""real"": 0.10281247344719177, ""n"": 11769}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2823670956911024, ""real"": 0.2327923894795747, ""n"": 1787}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4803062409288824, ""real"": 0.2931785195936139, ""n"": 689}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6733649289099527, ""real"": 0.3127962085308057, ""n"": 211}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8758125, ""real"": 0.3, ""n"": 80}]"
big_chance_created;Crea ocasión clara;backtest;14536;0.0868;0.904;0.0638;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.0265293438077634, ""real"": 0.0774799753542822, ""n"": 12984}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.27828816621499547, ""real"": 0.17705510388437218, ""n"": 1107}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4773363095238095, ""real"": 0.1875, ""n"": 336}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6666477272727274, ""real"": 0.22727272727272727, ""n"": 88}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9636190476190475, ""real"": 0.14285714285714285, ""n"": 21}]"
penalty_won;Provoca penalti;backtest;14536;0.0079;0.9922;0.0055;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.0030339966832504148, ""real"": 0.006978993919292427, ""n"": 14472}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.28221276595744677, ""real"": 0.02127659574468085, ""n"": 47}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.477625, ""real"": 0.0, ""n"": 8}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6678333333333334, ""real"": 0.0, ""n"": 6}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 1.0, ""real"": 0.0, ""n"": 3}]"
passes;Pases O/U;backtest;57864;0.302;0.4598;0.2213;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.1450929780198405, ""real"": 0.6518187123127797, ""n"": 5141}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3083505334626576, ""real"": 0.6446653734238603, ""n"": 20620}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4921826078834298, ""real"": 0.627685410050439, ""n"": 21412}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6807607942010716, ""real"": 0.6603634835591974, ""n"": 9519}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8478481228668941, ""real"": 0.7013651877133106, ""n"": 1172}]"
accurate_passes;Pases precisos O/U;backtest;56999;0.3004;0.4684;0.2123;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.14287621191135733, ""real"": 0.6111495844875346, ""n"": 5776}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.30761625519316177, ""real"": 0.6204097225538417, ""n"": 20941}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49175124648269736, ""real"": 0.6107024732191342, ""n"": 20257}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6814854346836595, ""real"": 0.6522530723714156, ""n"": 8788}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8483233629749394, ""real"": 0.7049312853678253, ""n"": 1237}]"
long_balls;Balones largos O/U;backtest;32848;0.2571;0.5918;0.125;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.12012906666666666, ""real"": 0.3416, ""n"": 7500}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2981573475979007, ""real"": 0.44670972951150584, ""n"": 9908}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4959636458062841, ""real"": 0.5257076084133991, ""n"": 7702}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6922668762715, ""real"": 0.6153134825226558, ""n"": 5407}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8763015873015874, ""real"": 0.7361647361647362, ""n"": 2331}]"
touches;Toques O/U;backtest;59233;0.3027;0.4549;0.2325;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.14603872238022314, ""real"": 0.7077225989936556, ""n"": 4571}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.31102170079357305, ""real"": 0.6685118056235917, ""n"": 20414}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4936565920673609, ""real"": 0.6569909151340572, ""n"": 22565}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.679999713576475, ""real"": 0.6722360129845332, ""n"": 10474}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8449900744416873, ""real"": 0.728701406120761, ""n"": 1209}]"
recoveries;Recuperaciones O/U;backtest;34648;0.2491;0.6147;0.1156;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11753355539106836, ""real"": 0.3391315075252899, ""n"": 8106}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2965143801652893, ""real"": 0.4315151515151515, ""n"": 9075}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49713417755624406, ""real"": 0.5198706722349454, ""n"": 7423}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6947319487262696, ""real"": 0.6298880415382119, ""n"": 6163}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8810492141200721, ""real"": 0.7742849780984282, ""n"": 3881}]"
