jugador;partidos_amonestado
Aaron Appindangoyé;1
Aaron Herrera;2
Aaron Hickey;1
Abbas Al-Asfoor;1
Abbas Hüseynov;1
Abbosbek Fayzullaev;1
Abdel Rahim;1
Abdelaziz Hatem;1
Abderazak Hamdallah;1
Abdiel Ayarza;1
Abdoul Rachid Moumini;2
Abdoul-Latif Djibril Goumey;1
Abdoulaye Boureima Katkoré;1
Abdul Ayinde;1
Abdul Rahman Oues;1
Abdul Suleiman Sopu;1
Abdulai Koulibaly;1
Abdulakh Khaybulaev;2
Abdulay Juma Bah;1
Abdulelah Al-Malki;1
Abdulla Al Yusuf;1
Abdulla Al-Khalasi;1
Abdullah Al-Hamdan;1
Abdullah Al-Khaibari;2
Abdullah Madu;1
Abdulrahman Al Sanbi;1
Abdulrahman Alobud;1
Abdulrahman Saleh Khamis;1
Abdulsamed Ahmed Abdullahi;1
Abdulwahab Awadi;1
Abduselam Yusuf;1
Abdülkadir Ömür;1
Abdülkerim Bardakcı;8
Aboubacar Bangoura;1
Aboubakar Kamara;1
Aboud Omar;1
Abu Dumbuya;2
Abubakr Barry;2
Abzal Beysebekov;1
Adalberto Carrasquilla;4
Adalid Terrazas;1
Adam Gnezda Čerin;5
Adam Idah;1
Adam Ounas;2
Adam Overend;1
Adam Wharton;1
Adamo Nagalo;1
Adamou Ibrahim Djibo;1
Adel Langue;1
Adem Arous;1
Adem Zorgane;2
Ademola Lookman;3
Aden McCarthy;1
Adjeil Neves;1
Adrian Leon Barišić;3
Adrian Șut;1
Adrien Botlar;1
Adrien Rabiot;5
Adrián Gomes;1
Affane Saïd Djambae;2
Aguinaldo Matias;1
Agustín Canobbio;1
Agustín Sández;1
Ahed Al-Mashaiki;1
Ahmad Al Dhefiri;1
Ahmed Al Riyami;1
Ahmed Al-Ganehi;2
Ahmed Al-Kassar;1
Ahmed Al-Khamisi;1
Ahmed Alaaeldin;1
Ahmed Basil;1
Ahmed Eid;1
Ahmed Fathi;3
Ahmed Fatouh;1
Ahmed Hasan Maknazi;1
Ahmed Hegazy;1
Ahmed Saad;1
Ahmed Saleh;1
Ahmed Soilihi;1
Ahmed Yousif Tabanja;1
Aidan Morris;1
Aiden O'Neill;2
Aimar Sher;2
Aiyegun Tosin;1
