"partido_id";"partido_completo";"jugador";"home_team";"away_team";"totalPass";"accuratePass";"totalLongBalls";"accurateLongBalls";"goalAssist";"accurateOwnHalfPasses";"totalOwnHalfPasses";"accurateOppositionHalfPasses";"totalOppositionHalfPasses";"totalClearance";"ballRecovery";"saves";"punches";"minutesPlayed";"touches";"rating";"possessionLostCtrl";"totalShots";"totalCross";"accurateCross";"aerialLost";"duelLost";"duelWon";"bigChanceCreated";"totalTackle";"wasFouled";"fouls";"keyPass";"dispossessed";"totalContest";"bigChanceMissed";"shotOffTarget";"onTargetScoringAttempt";"blockedScoringAttempt";"goals";"interceptionWon";"unsuccessfulTouch";"totalOffside";"aerialWon";"wonContest";"totalBallCarriesDistance";"ballCarriesCount";"totalProgression";"bestBallCarryProgression";"totalProgressiveBallCarriesDistance";"progressiveBallCarriesCount";"savedShotsFromInsideTheBox";"penaltyFaced";"challengeLost";"outfielderBlock";"wonTackle";"penaltyConceded";"shotValueNormalized";"passValueNormalized";"dribbleValueNormalized";"defensiveValueNormalized";"ownGoals";"keeperSaveValue";"goalkeeperValueNormalized";"penaltyShootoutGoal";"penaltyShootoutMiss";"goodHighClaim";"hitWoodwork";"penaltyMiss";"errorLeadToAGoal";"expectedGoals";"expectedGoalsOnTarget";"expectedAssists";"totalKeeperSweeper";"accurateKeeperSweeper";"penaltySave";"penaltyWon";"errorLeadToAShot";"goalsPrevented";"penaltyShootoutSave";"clearanceOffLine";"lastManTackle";"crossNotClaimed"
13233582;"France vs Iceland";"Mike Maignan";"France";"Iceland";36;21;21;6;0;19;21;2;15;1;6;1;1;90;42;6,5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
13233582;"France vs Iceland";"Aurélien Tchouaméni";"France";"Iceland";68;63;6;5;0;11;12;53;57;1;2;0;0;68;73;7,2;5;0;1;1;1;3;2;1;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
13233582;"France vs Iceland";"Kylian Mbappé";"France";"Iceland";39;33;2;2;1;4;4;30;37;0;3;0;0;90;55;8,3;13;5;2;1;0;5;0;2;0;0;0;4;1;4;1;1;3;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
13233635;"Iceland vs France";"Mike Maignan";"Iceland";"France";19;15;6;2;0;14;15;1;4;1;7;0;0;90;23;6,2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
15691369;"Haiti vs Iceland";"Duckens Nazon";"Haiti";"Iceland";12;7;1;1;0;2;5;5;7;0;1;0;0;62;19;6,3;9;1;0;0;0;3;3;0;0;1;1;1;1;2;1;1;0;0;0;0;1;0;1;1;83,640998586346;7;52,832530688059;30,009071300979;46,105611122573;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
14169217;"Colombia vs Bolivia";"James Rodríguez";"Colombia";"Bolivia";47;40;14;10;0;10;11;33;43;0;2;0;0;61;59;8,5;11;2;7;3;0;1;1;1;0;1;1;3;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
14169220;"Bolivia vs Brazil";"Alisson";"Bolivia";"Brazil";36;29;10;4;0;26;28;3;8;1;15;9;1;90;52;8,6;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
14169220;"Bolivia vs Brazil";"Bruno Guimarães";"Bolivia";"Brazil";59;52;3;2;0;23;26;30;38;0;3;0;0;90;82;7,2;16;1;5;1;1;5;8;0;3;4;2;2;1;1;0;0;1;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
14169220;"Bolivia vs Brazil";"Raphinha";"Bolivia";"Brazil";11;9;0;0;0;2;2;8;11;0;0;0;0;29;22;7;5;2;2;1;0;2;4;0;0;1;0;2;1;3;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
14849689;"NA vs NA";"Ali Olwan";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
