equipo;rank;vecino;distancia;peso
Croatia;1;Wales;0,9841;0,1638
Croatia;2;France;0,9865;0,1634
Croatia;3;Belgium;1,1137;0,1439
Croatia;4;Portugal;1,2005;0,1319
Croatia;5;USA;1,2773;0,1222
Croatia;6;Spain;1,4829;0,0995
Croatia;7;Denmark;1,558;0,0923
Croatia;8;Austria;1,664;0,083
Türkiye;1;Saudi Arabia;1,6109;0,1885
Türkiye;2;Luxembourg;1,9951;0,1284
Türkiye;3;Denmark;1,9977;0,128
Türkiye;4;Albania;2,0891;0,1169
Türkiye;5;Croatia;2,0945;0,1162
Türkiye;6;Brazil;2,1672;0,1081
Türkiye;7;Chile;2,169;0,1079
Türkiye;8;Wales;2,186;0,1061
Austria;1;Colombia;1,0318;0,2101
Austria;2;Algeria;1,4254;0,1418
Austria;3;Mexico;1,5702;0,1227
Austria;4;Croatia;1,664;0,1117
Austria;5;USA;1,6794;0,11
Austria;6;Senegal;1,7004;0,1077
Austria;7;France;1,7843;0,099
Austria;8;Romania;1,8034;0,0971
Belgium;1;Wales;0,8204;0,2188
Belgium;2;Croatia;1,1137;0,1632
Belgium;3;Denmark;1,3952;0,1231
Belgium;4;France;1,5306;0,1075
Belgium;5;Portugal;1,5978;0,1006
Belgium;6;Italy;1,6135;0,099
Belgium;7;Netherlands;1,646;0,0958
Belgium;8;South Korea;1,6874;0,0919
Portugal;1;Croatia;1,2005;0,1817
Portugal;2;France;1,4068;0,1478
Portugal;3;England;1,4636;0,1397
Portugal;4;Belgium;1,5978;0,1221
Portugal;5;Switzerland;1,7222;0,1078
Portugal;6;Denmark;1,7321;0,1068
Portugal;7;Wales;1,7948;0,1003
Portugal;8;Spain;1,8621;0,0938
France;1;Croatia;0,9865;0,205
France;2;Portugal;1,4068;0,1346
France;3;Spain;1,4085;0,1344
France;4;Germany;1,5054;0,122
France;5;Belgium;1,5306;0,1189
France;6;Wales;1,649;0,1057
France;7;Austria;1,7843;0,0923
France;8;Brazil;1,8422;0,0871
Netherlands;1;Norway;1,2836;0,1816
Netherlands;2;Spain;1,5755;0,1356
Netherlands;3;Belgium;1,646;0,1264
Netherlands;4;England;1,676;0,1226
Netherlands;5;Croatia;1,7104;0,1185
Netherlands;6;Wales;1,7766;0,1109
Netherlands;7;Germany;1,7791;0,1106
Netherlands;8;USA;1,9437;0,0938
Switzerland;1;Greece;1,1749;0,1676
Switzerland;2;USA;1,2695;0,1524
Switzerland;3;South Africa;1,3975;0,1341
Switzerland;4;Finland;1,4412;0,1284
Switzerland;5;Brazil;1,5002;0,121
Switzerland;6;Croatia;1,672;0,1019
Switzerland;7;Israel;1,7164;0,0975
Switzerland;8;Portugal;1,7222;0,0969
Sweden;1;Panama;1,4402;0,1706
Sweden;2;Algeria;1,4941;0,1617
Sweden;3;Senegal;1,6279;0,1414
Sweden;4;Haiti;1,7873;0,1206
Sweden;5;Colombia;1,855;0,1127
Sweden;6;Finland;1,8625;0,1118
Sweden;7;USA;2,039;0,0937
Sweden;8;Mexico;2,1084;0,0875
New Zealand;1;Greece;1,8542;0,1443
New Zealand;2;Chile;1,9087;0,1366
New Zealand;3;Uganda;1,9378;0,1327
New Zealand;4;Panama;1,9816;0,127
New Zealand;5;South Africa;2,0154;0,1228
New Zealand;6;Suriname;2,029;0,1211
New Zealand;7;Ecuador;2,1434;0,1081
New Zealand;8;Finland;2,1502;0,1073
Qatar;1;Iran;1,673;0,1786
Qatar;2;Trinidad and Tobago;1,7657;0,1628
Qatar;3;South Korea;2,0477;0,1228
Qatar;4;Russia;2,1175;0,1145
Qatar;5;Serbia;2,1288;0,1132
Qatar;6;Australia;2,1858;0,107
Qatar;7;Guadeloupe;2,2441;0,1009
Qatar;8;Denmark;2,2513;0,1002
Japan;1;Senegal;1,7003;0,2146
Japan;2;Algeria;2,0814;0,1466
Japan;3;Morocco;2,159;0,1356
Japan;4;Austria;2,2622;0,1223
Japan;5;South Korea;2,2811;0,12
Japan;6;Germany;2,5835;0,0887
Japan;7;USA;2,5841;0,0887
Japan;8;Australia;2,6441;0,0835
Iran;1;United Arab Emirates;1,3286;0,2349
Iran;2;Qatar;1,673;0,1665
Iran;3;Australia;1,9619;0,1247
Iran;4;Iceland;2,0309;0,1164
Iran;5;Trinidad and Tobago;2,1308;0,1053
Iran;6;Russia;2,3488;0,0847
Iran;7;Serbia;2,3517;0,0844
Iran;8;Honduras;2,3677;0,0831
Iraq;1;Paraguay;1,256;0,1614
Iraq;2;Venezuela;1,2586;0,161
Iraq;3;Honduras;1,4051;0,139
Iraq;4;Hungary;1,4903;0,1277
Iraq;5;Serbia;1,5285;0,1229
Iraq;6;North Macedonia;1,6337;0,1106
Iraq;7;China;1,8507;0,089
Iraq;8;Northern Ireland;1,859;0,0883
Uruguay;1;Poland;1,0891;0,1934
Uruguay;2;Guatemala;1,3507;0,1489
Uruguay;3;Mexico;1,3766;0,1451
Uruguay;4;Panama;1,5967;0,1164
Uruguay;5;Chile;1,7028;0,1047
Uruguay;6;Romania;1,7641;0,0984
Uruguay;7;Ecuador;1,7726;0,0976
Uruguay;8;Tunisia;1,7936;0,0956
Colombia;1;Austria;1,0318;0,1935
Colombia;2;Algeria;1,231;0,1586
Colombia;3;Mexico;1,4544;0,1268
Colombia;4;Panama;1,457;0,1265
Colombia;5;Romania;1,6421;0,1051
Colombia;6;Senegal;1,7035;0,0989
Colombia;7;Haiti;1,7283;0,0964
Colombia;8;Morocco;1,7515;0,0942
Paraguay;1;Iraq;1,256;0,1858
Paraguay;2;Palestine;1,5215;0,1425
Paraguay;3;Venezuela;1,5459;0,1391
Paraguay;4;Costa Rica;1,744;0,1141
Paraguay;5;Jordan;1,7917;0,1088
Paraguay;6;Montenegro;1,8284;0,1049
Paraguay;7;Belarus;1,8345;0,1042
Paraguay;8;China;1,8692;0,1007
Brazil;1;Switzerland;1,5002;0,1746
Brazil;2;Ecuador;1,7476;0,1363
Brazil;3;Mexico;1,8319;0,1253
Brazil;4;France;1,8422;0,124
Brazil;5;Greece;1,8694;0,1207
Brazil;6;Israel;1,9451;0,1119
Brazil;7;Germany;2,0015;0,1058
Brazil;8;Croatia;2,0448;0,1013
Mexico;1;Poland;0,9925;0,1766
Mexico;2;Panama;1,1141;0,1563
