"partido_id";"partido_completo";"equipo_nombre";"tipo_equipo";"ball_possession";"expected_goals";"big_chances";"total_shots";"goalkeeper_saves";"corner_kicks";"fouls";"passes";"tackles";"free_kicks";"yellow_cards";"shots_on_target";"hit_woodwork";"shots_off_target";"blocked_shots";"shots_inside_box";"shots_outside_box";"big_chances_scored";"big_chances_missed";"through_balls";"touches_in_penalty_area";"fouled_in_final_third";"offsides";"accurate_passes";"throw-ins";"final_third_entries";"final_third_phase";"long_balls";"crosses";"duels";"dispossessed";"ground_duels";"aerial_duels";"dribbles";"tackles_won";"total_tackles";"interceptions";"recoveries";"clearances";"errors_lead_to_a_goal";"total_saves";"big_saves";"high_claims";"punches";"goal_kicks";"red_cards";"errors_lead_to_a_shot";"penalty_saves";"goals_prevented";"goles"
13233465;"Iceland vs Azerbaijan";"Iceland";"home";71;3,06;5;14;0;3;12;687;5;12;1;7;0;6;1;10;4;3;2;1;33;3;0;608;16;94;186;34;6;48;4;22;13;6;80;5;5;46;9;0;0;0;0;0;2;NA;NA;NA;NA;5
13233465;"Iceland vs Azerbaijan";"Azerbaijan";"away";29;0,48;0;2;4;2;12;281;12;12;2;0;0;2;0;2;0;0;0;0;6;0;3;197;13;31;19;15;2;52;1;28;10;4;58;12;11;30;35;1;4;3;1;1;16;NA;NA;NA;NA;0
13233582;"France vs Iceland";"France";"home";63;3,77;7;20;1;3;12;623;14;12;3;8;1;8;4;13;7;2;5;3;47;3;3;560;19;82;241;24;4;47;8;37;7;10;64;14;3;45;7;1;1;NA;0;1;5;1;0;NA;NA;2
13233582;"France vs Iceland";"Iceland";"away";37;0,8;1;7;6;2;13;366;22;12;2;2;0;4;1;3;4;1;0;0;8;3;1;300;6;50;61;22;2;53;10;35;14;2;50;22;6;40;34;0;6;NA;2;1;9;0;1;NA;NA;1
13233601;"Iceland vs Ukraine";"Iceland";"home";65;1,11;1;9;1;4;11;649;8;13;1;5;1;3;1;7;2;1;NA;1;21;2;1;555;18;69;85;21;4;48;5;29;16;8;63;8;17;51;24;1;1;0;0;0;2;NA;NA;NA;NA;3
13233601;"Iceland vs Ukraine";"Ukraine";"away";35;0,78;2;8;1;2;13;343;11;11;4;7;0;1;0;5;3;2;NA;1;13;0;3;252;19;42;48;17;4;52;1;31;17;9;45;11;9;44;29;0;1;1;1;1;8;NA;NA;NA;NA;5
13233635;"Iceland vs France";"Iceland";"home";30;0,82;3;4;6;0;16;317;13;12;1;2;0;1;1;4;0;2;1;NA;8;1;1;247;14;39;30;17;1;49;4;27;14;2;38;13;10;37;49;NA;6;1;2;NA;7;NA;NA;NA;NA;2
13233635;"Iceland vs France";"France";"away";70;2,5;5;20;0;9;12;717;6;16;1;9;0;8;3;13;7;1;4;NA;33;4;1;654;23;93;218;27;7;51;7;28;14;6;100;6;9;38;13;NA;0;0;0;NA;4;NA;NA;NA;NA;2
13233648;"Azerbaijan vs Iceland";"Azerbaijan";"home";38;0,5;1;7;4;8;17;339;20;9;4;1;0;5;1;3;4;0;1;0;19;0;3;269;8;32;50;21;3;45;7;36;11;8;35;20;6;47;21;NA;4;0;0;2;9;NA;1;NA;NA;0
13233648;"Azerbaijan vs Iceland";"Iceland";"away";62;1,97;2;17;1;4;9;565;13;17;2;6;1;7;4;10;7;1;1;2;22;3;1;500;20;59;100;16;5;55;8;39;18;10;46;13;7;41;27;NA;1;1;2;0;8;NA;2;NA;NA;2
13233675;"Ukraine vs Iceland";"Ukraine";"home";52;1,65;3;13;3;3;12;432;17;6;2;6;1;7;0;8;5;1;2;NA;26;1;2;350;28;82;105;27;3;46;5;25;14;2;59;17;9;51;32;0;3;1;0;0;1;NA;NA;NA;NA;2
13233675;"Ukraine vs Iceland";"Iceland";"away";48;0,58;1;10;4;10;6;397;13;12;1;2;0;3;5;6;4;0;1;NA;14;1;2;313;10;41;67;26;7;54;6;28;17;4;69;13;10;42;43;1;4;1;1;2;9;NA;NA;NA;NA;0
15362811;"Mexico vs Iceland";"Mexico";"home";57;2,44;10;24;2;8;7;562;10;10;1;11;0;7;6;16;8;3;7;NA;44;2;5;490;20;56;141;25;9;58;3;25;14;6;80;10;9;39;9;0;2;0;NA;NA;3;NA;2;NA;NA;4
15362811;"Mexico vs Iceland";"Iceland";"away";43;0,4;2;4;7;2;10;425;4;7;1;2;0;1;1;4;0;0;2;NA;6;0;0;363;15;30;27;25;2;42;9;15;13;4;75;4;7;34;34;1;7;1;NA;NA;8;NA;0;NA;NA;0
15437153;"Canada vs Iceland";"Canada";"home";56;2,33;3;15;1;8;12;429;14;15;0;5;0;6;4;9;6;2;1;NA;29;6;0;328;26;68;124;23;5;48;7;41;7;10;64;14;8;53;20;1;1;1;0;NA;2;1;NA;NA;NA;2
15437153;"Canada vs Iceland";"Iceland";"away";44;0,47;1;4;3;1;17;338;20;12;2;3;0;1;0;3;1;1;0;NA;6;0;5;240;13;39;19;30;0;52;6;36;17;4;65;20;12;50;27;0;3;0;1;NA;12;0;NA;NA;NA;2
15691369;"Haiti vs Iceland";"Haiti";"home";42;NA;2;11;0;1;15;396;8;12;2;3;0;6;2;7;4;1;1;NA;13;1;2;336;20;48;56;43;3;51;5;28;10;8;63;8;6;37;11;NA;0;NA;NA;NA;4;NA;1;NA;NA;1
15691369;"Haiti vs Iceland";"Iceland";"away";58;NA;2;4;2;0;12;545;13;15;0;1;0;3;0;2;2;1;1;NA;7;1;5;493;9;54;65;39;3;49;4;29;8;3;77;13;8;40;17;NA;2;NA;NA;NA;6;NA;1;NA;NA;1
13856225;"Venezuela vs Bolivia";"Venezuela";"home";41;NA;2;10;2;5;12;291;21;18;1;5;0;5;0;8;2;1;1;NA;14;0;3;233;19;35;42;19;5;55;10;45;15;7;81;21;12;38;18;0;2;0;NA;NA;9;NA;NA;NA;NA;2
13856225;"Venezuela vs Bolivia";"Bolivia";"away";59;NA;0;9;4;2;18;425;18;12;2;2;0;5;2;4;5;0;0;NA;10;4;1;361;28;53;92;21;3;45;10;37;13;7;67;18;6;49;16;1;4;1;NA;NA;5;NA;NA;NA;NA;0
